Polling Station No,Candidate_1,. S . R A M) P US KB ( H T I J A,N A R .A M M) C . UN K KI . GL( I M A T,. T . L A M ) MK AT YN I( N A L A P,. K . N) K AM N T N( A K,. S . N A) RK DV NT ( E J A G,. V .) MK AM VP L( E S,. C . I N) K A V M A AT V( A H T,. P . N) K AL GK UM RM UL MD UA RN I( H T,. M . I A) LD AN MI A( N N A,. G . R A) MD UN KI N( U R A,. A . N A) SD RN AI ( V A L E,. M . L E) VD IN HI T( K A S,. V .) MD AN VI L( E S,. G . N A) YD AN RI D( N E S,. S . M A V) LD EN SI A( N A N G,. M . N A S) D A RN AI ( L I M A T,. S . I V ) LD E N S LI ( I M A T,. P . I) ND AN MI O( O P,. S . N A N) D N N A I V( I N A M,. A . K . N ) AD RN AI H( O N A M,. R . N A N) D H N S I I( R K L I V,Total Valid Votes,Rejected Votes,NOTA,Total,Tendered Votes
92,92,4,270,34,0,237,375,1,0,1,0,0,2,0,0,0,1,1,1,2,0,1,0,930,0,3,933
93,93,0,77,26,0,96,214,2,1,1,2,0,0,1,1,0,1,0,1,0,0,1,0,424,0,3,427
94,94,0,200,16,2,197,225,1,0,0,0,0,0,0,0,1,1,5,2,0,0,1,0,651,0,2,653
95,95,2,269,51,2,308,345,3,1,2,2,0,1,0,1,2,2,1,1,1,0,2,2,998,0,8,1006
96,96,1,139,21,4,240,179,0,0,1,3,0,1,1,0,1,2,7,0,0,1,1,3,605,0,1,606
97,97,2,160,31,0,303,416,3,2,2,2,0,0,2,0,1,0,3,2,0,0,1,2,932,0,8,940
98,98,2,124,22,3,262,545,3,0,1,2,0,1,1,0,0,1,0,0,0,0,0,2,969,0,2,971
99,99,0,401,4,2,217,155,3,1,0,1,0,0,0,0,0,2,2,1,0,0,1,0,790,0,0,790
100,100,0,93,6,1,94,133,2,0,1,2,0,0,0,0,0,1,1,0,0,0,1,0,335,0,0,335
101,101,1,325,31,0,308,164,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,833,0,3,836
