Polling Station No,Candidate_1,M.NAGEMRAK,NAHTANIMAS.P.M,JARATAN NSN,ABMASANANGURIHT.P MAHTN,REDNUOG INAM,IMHSKALAYAJIV.R,MAGUMURA.K,LEVUNAMMI .R,NAYEKIHTRAK,MAHTWOG,JARATAN.T,YMASINALAP,NABIHTRAP.P,INAM.P,NARDNEJAR.B,Total Valid Votes,Rejected Votes,NOTA,Total,Tendered Votes
309,309,34,245,318,5,204,0,0,0,2,0,1,0,1,3,2,815,0,2,817,0
310,310,35,217,148,2,309,0,0,0,1,0,0,3,2,0,0,717,0,3,720,0
311,311,17,152,208,0,185,1,1,2,1,0,0,2,2,1,2,574,0,3,577,0
312,312,25,132,208,2,281,0,2,3,2,0,0,1,1,2,2,661,0,4,665,0
313,313,16,96,175,2,141,0,0,0,2,0,0,1,0,0,0,433,0,0,433,0
314,314,12,131,160,1,192,1,0,0,0,0,0,1,2,0,0,500,0,1,501,0
315,315,15,145,171,3,144,1,0,0,2,0,1,0,1,0,0,483,0,0,483,0
316,316,39,255,175,7,273,0,0,1,2,0,0,0,4,0,2,758,0,3,761,0
317,317,7,202,374,3,127,1,0,2,0,0,1,1,1,1,0,720,0,2,722,0
318,318,13,229,312,2,141,1,0,0,0,0,0,0,0,0,1,699,0,2,701,0
