Polling Station No,DURAI. CHANDRASEKARAN,DURAI. SENTHILNATHAN,VELU. KARTHIKEYAN,MATHI. MANIKANDAN,S. VIJAYAKUMAR,VIJAYA BABU,V. VENU,ABIMAN,ER.S. ARJUN,R. SATHIYANARAYANAN,RAJASEKARAN. S,R. RAJKUMAR,JAYAINDHRAESWARAN,Total Valid Votes,Rejected Votes,NOTA,Total,Tendered Votes
174,269,20,178,257,1,7,1,1,0,0,0,0,0,734,0,1,735,0
175,199,23,129,199,0,17,1,0,0,0,0,1,0,569,0,2,571,0
176,197,31,64,285,0,18,0,1,1,1,0,1,0,599,0,6,605,0
177,180,32,68,228,0,5,2,0,0,0,2,1,1,519,0,1,520,0
178,235,46,48,288,0,10,0,0,0,1,0,0,1,629,0,3,632,0
179,225,40,190,315,1,13,1,1,2,4,1,1,0,794,0,6,800,0
180,4 248,27,359,288,0,2,2,2,0,0,3,1,0,932,0,3,935,0
181,174,14,252,174,2,1,1,0,0,0,1,1,0,620,0,2,622,0
182,177,13,99,125,0,0,1,0,3,0,0,4,1,423,0,2,425,0
183,320,30,321,330,0,0,1,0,2,1,4,1,0,1010,0,5,1015,0
184,250,29,343,287,0,1,2,1,3,0,0,0,0,916,0,5,921,0
185,141,16,80,133,0,1,0,1,0,1,0,0,0,373,0,0,373,0
186,249,30,91,274,1,16,1,0,2,0,0,1,0,665,0,2,667,0
187,439,16,38,164,1,2,0,0,0,0,0,0,0,660,0,0,660,0
188,426,17,14,106,0,0,1,0,0,0,0,0,0,564,0,2,566,0
189,474,27,57,177,0,0,0,0,0,1,0,0,0,736,0,3,739,0
190,259,28,318,260,0,1,0,0,0,2,2,1,0,871,0,0,871,0
191,207,32,231,229,1,1,0,1,0,0,0,1,0,703,0,2,705,0
192,272,17,80,172,0,0,1,0,1,0,0,0,0,543,0,4,547,0
193,459,27,62,227,0,0,0,0,1,0,0,0,0,776,0,7,783,0
194,187,42,312,208,1,1,1,1,2,0,1,2,0,758,0,3,761,0
195,109,15,105,107,1,1,0,0,0,0,0,1,1,340,0,1,341,0
196,226,32,433,252,0,11,2,1,3,1,3,4,0,968,0,4,972,0
197,122,7,200,66,0,2,0,0,0,0,0,1,0,398,0,0,398,0
198,121,5,174,83,1,0,0,0,0,0,0,1,0,385,0,3,388,0
199,252,51,149,262,1,1,0,2,2,1,2,3,1,727,0,5,732,0
200,255,17,197,159,1,1,0,0,1,0,0,2,0,633,0,3,636,0
201,56,16,59,39,0,0,1,0,0,0,0,0,0,171,0,0,171,0
202,313,62,143,330,0,0,1,0,2,2,2,0,1,856,0,8,864,0
203,191,37,239,249,0,1,1,1,6,0,1,1,1,728,0,3,731,0
204,256,35,286,206,2,0,1,0,0,0,0,2,1,789,0,1,790,0
205,232,54,142,233,2,19,3,0,1,1,4,2,1,694,0,1,695,0
206,236,70,173,291,2,12,1,2,1,1,4,2,0,795,0,5,800,0
207,234,22,115,218,0,1,0,1,0,0,1,0,0,592,0,1,593,0
208,181,35,124,204,1,8,0,2,0,1,1,1,0,558,0,5,563,0
209,178,22,115,149,0,4,0,0,0,0,2,0,0,470,0,0,470,0
210,210,39,68,196,1,1,0,1,0,0,0,0,1,517,0,2,519,0
211,260,69,194,289,1,9,1,2,1,2,3,2,0,833,0,2,835,0
212,120,19,67,125,1,2,0,0,0,1,3,0,0,338,0,3,341,0
213,241,46,208,365,0,19,1,0,1,1,18,4,0,904,0,6,910,0
214,124,34,117,282,1,3,1,0,1,0,0,0,0,563,0,1,564,0
215,291,46,174,281,3,6,0,1,3,1,2,2,4,814,0,3,817,0
216,190,33,96,181,1,7,0,1,0,0,5,0,2,516,0,2,518,0
217,230,48,85,249,1,17,4,1,0,1,1,0,0,637,0,3,640,0
218,335,58,191,306,1,3,3,0,0,1,0,1,1,900,0,2,902,0
219,241,36,158,447,1,7,2,2,0,1,2,1,5,903,0,4,907,0
220,254,48,115,417,2,10,1,1,1,0,0,1,0,850,0,10,860,0
221,273,34,92,378,1,5,1,0,0,1,1,1,0,787,0,4,791,0
222,206,59,97,426,3,3,3,1,1,0,2,1,1,803,0,4,807,0
223,201,23,192,148,0,1,0,1,0,1,0,1,0,568,0,0,568,0
224,177,36,158,274,0,1,2,0,1,2,0,0,0,651,0,5,656,0
225,5 219,40,86,255,0,0,2,1,0,1,0,0,2,606,0,5,611,0
226,214,27,88,236,0,1,2,0,0,0,0,0,1,569,0,3,572,0
227,224,38,93,270,1,3,3,1,0,1,0,1,0,635,0,3,638,0
228,240,53,175,426,1,0,0,0,0,0,0,0,0,895,0,6,901,0
229,193,28,86,231,2,0,1,0,0,0,0,0,0,541,0,1,542,0
230,189,26,87,234,0,2,0,1,0,1,0,0,0,540,0,5,545,0
231,127,31,67,215,1,1,2,0,0,0,0,0,1,445,0,2,447,0
232,196,11,29,138,0,1,1,0,0,0,0,0,0,376,0,1,377,0
233,357,29,51,368,1,0,0,1,0,0,2,0,1,810,0,5,815,0
