Polling Station No,Polling Station No.,NAVLESIAGIHTRAK,NITSUJ NOMIS .A .RD,YMASAIREP .I,NAHTANAWSIV .A,IVLESIALAK .N,RAKNAS .D,NARDNEGAN .K.M,NAGURUM ALAB .S,HSAKARPAYAJ .K,NASERIHTAK .K,JARAGAN .D,YMASAYIREP .M,LEVINAM .P,NAHTANAVSIV .K,NAGURUMLEV .K,Total Valid Votes,Rejected Votes,NOTA,Total,Tendered Votes
308,308,1,23,225,63,305,3,1,1,0,0,0,0,0,0,0,622,0,2,624,0
309,309,2,16,220,53,266,0,0,1,2,0,0,0,0,0,0,560,0,5,565,0
310,310,0,15,191,37,167,0,1,0,0,1,0,0,0,0,0,412,0,3,415,0
311,311,0,35,343,73,354,0,1,1,1,0,0,0,1,1,0,810,0,5,815,0
312,312,1,17,225,79,265,1,0,0,0,1,0,0,0,0,0,589,0,9,598,0
313,313,1,16,255,60,333,0,3,1,0,0,1,1,0,1,0,672,0,4,676,0
314,314,0,22,228,48,200,0,0,0,2,0,0,0,0,0,0,500,0,2,502,0
315,315,0,33,240,65,239,1,0,0,0,1,0,0,0,0,0,579,0,4,583,0
316,316,0,36,160,36,182,1,1,0,1,1,0,0,0,0,0,418,0,3,421,0
317,317,0,30,273,87,349,0,2,0,0,0,1,1,0,0,0,743,0,5,748,0
318,318,2,19,263,91,314,5,0,2,1,1,0,0,1,0,0,699,0,2,701,0
319,319,0,26,264,64,317,4,0,1,0,0,0,2,1,0,1,680,0,2,682,0
320,320,1,36,415,57,313,2,0,1,0,0,0,0,0,2,0,827,0,1,828,0
321,321,0,20,281,36,253,2,0,1,0,0,0,0,1,0,0,594,0,2,596,0
322,322,2,16,202,34,268,2,1,0,0,0,0,0,0,0,0,525,0,0,525,0
323,323,0,23,178,49,355,1,2,1,1,1,0,0,1,1,0,613,0,8,621,0
324,324,1,31,304,47,395,2,2,1,0,1,0,0,2,1,1,788,0,3,791,0
325,325,0,37,352,78,390,4,5,1,0,0,0,0,2,3,0,872,0,2,874,0
326,326,1,24,299,208,328,1,3,0,0,1,0,4,0,0,0,869,0,4,873,0
327,327,2,75,375,85,328,2,0,1,11,0,0,2,0,1,1,883,0,5,888,0
328,328,2,37,291,150,275,3,1,4,2,1,1,0,2,2,1,772,0,3,775,0
329,329,1,21,272,186,288,1,1,1,0,0,2,2,2,0,0,777,0,1,778,0
330,330,2,32,326,77,447,10,8,11,1,2,0,4,2,1,0,923,0,3,926,0
331,331,0,9,284,37,253,0,1,1,3,1,0,1,1,0,3,594,0,0,594,0
332,332,1,15,338,47,243,0,1,1,0,0,0,0,0,0,0,646,0,0,646,0
333,333,1,10,283,94,220,7,3,1,0,0,0,0,3,1,0,623,0,0,623,0
334,334,1,23,113,36,145,1,0,1,1,0,1,0,0,0,0,322,0,2,324,0
335,335,5,34,235,52,256,1,1,0,1,0,0,0,1,1,0,587,0,3,590,0
336,336,0,35,264,55,335,1,1,0,2,0,0,0,0,0,2,695,0,5,700,0
337,337,3,42,351,133,399,2,3,1,0,0,1,1,3,2,0,941,0,1,942,0
338,338,3,62,236,75,229,2,2,3,0,1,0,0,1,3,0,617,0,1,618,0
339,339,2,30,394,87,391,1,4,1,0,1,0,0,1,4,0,916,0,5,921,0
340,340,1,36,302,122,264,0,1,1,1,2,0,0,0,2,1,733,0,3,736,0
341,341,1,21,150,61,179,0,0,0,0,2,0,0,0,0,0,414,0,1,415,0
