Polling Station No,ANANDHARAJA. D.,KADARKARAIRAJ. A,KAMALA VEL SELVAN. P,NAINAR NAGENTHRAN,AJITH. M,ESAKKIRAJA. K,THANGA DURAI. P,MUTHUKANNU. C,VELMURUGAN. S,AJITHKUMAR. S,KALIRAJ. M,SARAVANAN. P,THANGA MARIAPPAN. J,NARMADA NANDHAKUMAR,MAHENDRAN. M,MAHESHKUMAR. M,MANIVASAGAM.S,MAYAKKANNAN. V,MUTHARASAN. M,RAMESH KUMAR. B,VIJENDRAN. G,VENKATESAN. M,Total Valid Votes,Rejected Votes,NOTA,Total,Tendered Votes
231,47,187,2,99,136,2,0,1,68,0,1,1,0,0,0,0,0,1,0,0,0,0,545,0,1,546,0
232,47,293,0,128,265,25,0,0,15,0,0,1,2,0,4,0,2,0,0,0,0,1,783,0,0,783,0
233,40,160,0,125,181,30,0,0,65,0,0,0,0,0,0,0,1,1,0,1,0,0,604,0,1,605,0
234,18,152,2,180,93,107,0,1,12,0,1,0,1,1,1,0,1,1,0,3,0,1,575,0,0,575,0
235,32,274,0,238,180,17,0,1,0,0,0,1,0,0,0,0,1,3,0,0,0,0,747,0,2,749,0
236,12,114,0,155,108,28,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,421,0,1,422,0
237,35,259,3,246,179,49,0,0,1,0,1,1,0,0,3,0,4,2,0,3,0,0,786,0,2,788,0
238,18,264,2,196,77,46,0,0,18,0,0,0,0,0,2,1,1,3,2,1,0,0,631,0,4,635,0
239,35,225,0,271,263,2,1,0,0,0,1,1,1,0,3,0,0,1,0,0,0,0,804,0,1,805,0
240,15,300,1,169,193,5,0,0,0,1,1,2,2,1,1,0,1,2,0,2,2,0,698,0,1,699,0
241,11,189,0,99,159,1,0,1,1,0,0,0,2,0,0,1,1,0,0,1,1,0,467,0,4,471,0
242,7,191,0,103,106,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,410,0,1,411,0
243,10,243,0,139,154,2,0,0,1,0,0,0,3,0,0,0,1,2,1,0,1,1,558,0,2,560,0
244,15,196,0,137,168,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,520,0,2,522,0
245,36,265,0,180,270,1,0,0,7,0,0,0,1,1,1,0,1,1,0,0,0,0,764,0,4,768,0
246,32,234,1,136,172,5,0,1,12,0,0,1,0,0,0,0,0,1,0,0,0,0,595,0,3,598,0
247,24,168,1,105,142,2,0,0,5,0,0,0,0,0,0,0,0,0,1,1,0,0,449,0,2,451,0
248,34,301,1,145,257,6,0,0,19,0,0,0,0,0,1,1,0,1,0,0,0,0,766,0,4,770,0
249,30,229,3,169,209,6,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,649,0,1,650,0
250,34,216,3,214,275,73,0,1,2,0,1,1,2,1,3,2,0,1,0,0,0,1,830,0,1,831,0
251,26,186,3,152,228,29,0,1,0,0,0,0,0,0,1,0,2,0,1,0,0,0,629,0,2,631,0
252,33,206,1,191,340,27,0,0,0,0,0,0,2,0,0,0,3,2,2,0,0,1,808,0,2,810,0
253,37,227,2,213,375,35,1,0,1,0,0,2,0,0,0,1,3,1,1,0,0,0,899,0,3,902,0
254,37,277,0,249,288,34,0,1,0,1,0,1,1,0,1,0,0,3,1,4,1,0,899,0,0,899,0
255,36,195,0,192,279,32,1,0,1,0,0,0,1,1,0,1,3,1,1,1,2,0,747,0,2,749,0
256,27,210,3,179,250,28,1,0,0,1,1,0,2,0,0,1,2,2,0,0,0,2,709,0,2,711,0
257,36,278,1,307,142,17,0,0,0,0,0,1,2,0,0,1,1,3,1,2,1,0,793,0,2,795,0
258,28,193,2,209,117,13,0,1,0,0,1,1,2,0,2,1,0,0,1,0,0,0,571,0,0,571,0
259,23,219,1,260,180,29,0,0,0,0,1,2,1,0,1,0,1,0,1,2,0,0,721,0,0,721,0
260,46,287,4,123,337,3,0,0,24,0,0,1,2,0,1,1,6,4,3,0,2,0,844,0,1,845,0
261,28,227,2,177,331,10,2,0,2,1,0,0,0,0,0,0,1,2,0,2,3,0,788,0,3,791,0
262,22,316,0,178,400,8,2,0,7,0,0,2,0,4,0,0,4,6,4,1,0,2,956,0,2,958,0
263,27,155,1,168,186,1,0,1,11,0,0,0,1,1,0,1,1,1,0,1,1,0,557,0,2,559,0
264,52,211,0,190,257,3,1,2,40,1,2,1,3,0,0,1,2,3,0,1,0,3,773,0,4,777,0
265,34,236,0,219,263,8,0,1,4,1,0,0,2,0,0,0,2,0,0,0,0,0,770,0,3,773,0
266,33,254,3,289,249,15,0,0,2,0,0,1,1,0,1,0,1,0,0,0,0,2,851,0,1,852,0
267,15,150,0,154,143,10,1,1,1,0,0,0,1,0,0,0,3,0,0,1,1,0,481,0,2,483,0
268,32,213,0,137,176,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,562,0,3,565,0
269,27,169,0,79,138,1,0,0,1,0,0,0,2,0,1,0,0,1,1,0,0,0,420,0,5,425,0
270,32,187,0,116,194,1,0,2,26,0,0,0,1,0,0,1,0,1,0,0,0,0,561,0,2,563,0
271,25,206,3,155,207,16,1,2,2,0,0,0,1,0,0,0,1,4,0,0,1,0,624,0,1,625,0
272,38,240,1,211,198,1,0,0,0,0,0,1,0,1,0,0,5,1,0,1,2,2,702,0,3,705,0
273,27,280,2,211,323,4,0,0,1,1,1,0,0,0,1,0,2,1,0,1,1,3,859,0,1,860,0
274,24,177,0,157,181,4,0,2,0,0,0,0,0,0,0,1,0,2,0,0,0,0,548,0,1,549,0
275,22,252,1,233,244,23,1,0,1,0,1,0,1,0,0,0,2,8,3,3,0,1,796,0,3,799,0
276,30,196,0,185,262,10,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,685,0,1,686,0
277,13,180,1,124,181,2,0,0,1,0,0,0,1,0,0,0,2,2,0,0,0,1,508,0,0,508,0
278,18,167,2,122,186,8,0,0,1,0,0,0,0,0,0,0,2,1,0,1,1,0,509,0,0,509,0
279,36,197,1,160,368,19,0,0,1,0,0,1,1,0,0,0,3,0,0,1,0,0,788,0,3,791,0
280,25,183,0,146,284,17,0,0,0,0,0,1,0,0,2,0,0,1,1,1,2,0,663,0,5,668,0
281,22,195,3,312,204,15,5,1,2,2,0,1,0,0,0,0,2,1,0,5,0,1,771,0,2,773,0
282,25,250,0,153,260,17,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0,710,0,1,711,0
283,13,272,2,158,212,1,0,0,0,0,0,0,0,0,0,0,3,3,2,3,2,0,671,0,1,672,0
284,34,181,1,168,230,1,1,1,2,1,0,0,0,1,0,1,1,0,1,0,0,1,625,0,2,627,0
285,27,218,2,217,235,21,1,0,1,0,0,0,1,0,4,2,0,1,1,1,0,0,732,0,4,736,0
286,16,162,1,177,128,14,0,0,0,0,0,0,1,0,0,2,1,0,0,1,0,1,504,0,0,504,0
287,22,156,1,143,160,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,487,0,5,492,0
288,24,201,1,251,278,8,0,1,1,1,0,0,0,0,0,0,0,2,0,1,0,0,769,0,1,770,0
289,22,224,0,231,229,7,1,0,0,0,0,0,1,1,1,0,1,0,0,2,0,0,720,0,4,724,0
290,18,145,2,254,266,11,1,1,0,2,0,0,2,0,3,1,0,0,1,2,0,1,710,0,3,713,0
291,17,211,0,212,203,15,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,661,0,0,661,0
