Polling Station No,KATHARBATCHA MUTHURAMALINGAM,GBS K.NAGENDRAN,S.M. MUTHU KESAVAN,DR.J. ABUBAKKAR SITHICK,SHAHUL HAMEED,C. PARIRAJAN,S. MURUGABOOPATHY,KAN ILANGO,KARTHIGAI PANDI,A. CHINNA RAJA,BALAKRISHNAN,PULLANI,K. MALESWARAN,Total Valid Votes,Rejected Votes,NOTA,Total,Tendered Votes
234,83,273,21,2,242,0,1,0,2,0,0,1,2,627,0,3,630,0
235,178,238,88,0,149,2,0,0,0,0,0,0,0,655,0,3,658,0
236,91,105,48,0,73,1,3,0,2,1,0,1,2,327,0,3,330,0
237,183,173,99,0,161,1,1,0,0,0,1,1,1,621,0,1,622,0
238,201,249,70,0,153,0,0,0,1,0,0,0,1,675,0,3,678,0
239,220,301,95,2,218,0,0,3,1,0,1,1,3,845,0,2,847,0
240,87,328,32,0,140,0,0,1,3,0,1,0,2,594,0,2,596,0
241,70,132,23,0,105,2,0,0,0,0,1,0,1,334,0,0,334,0
242,93,113,19,0,107,0,0,0,0,1,1,0,2,336,0,1,337,0
243,134,218,45,0,243,0,0,1,1,0,1,1,4,648,0,0,648,0
244,219,198,89,1,181,0,0,0,0,0,1,1,0,690,0,1,691,0
245,589,22,8,1,92,1,0,0,0,1,0,1,0,715,0,16,731,0
246,117,166,13,0,159,1,1,0,0,1,0,0,0,458,0,3,461,0
247,169,283,26,1,258,2,0,1,1,4,0,2,12,759,0,5,764,0
248,135,181,30,1,224,0,0,0,0,0,0,1,1,573,0,1,574,0
249,134,251,17,2,237,0,0,0,2,5,0,1,3,652,0,5,657,0
250,202,296,15,3,295,1,0,4,0,1,2,2,5,826,0,7,833,0
251,144,233,31,0,277,1,0,1,0,2,0,2,4,695,0,5,700,0
252,99,176,10,0,334,1,0,1,1,1,0,1,0,624,0,1,625,0
253,358,92,49,0,247,2,1,1,0,1,0,2,0,753,0,3,756,0
254,108,86,10,2,98,0,0,0,0,1,0,0,0,305,0,0,305,0
255,291,214,43,0,210,2,0,2,0,0,0,0,1,763,0,1,764,0
256,135,89,24,1,202,1,1,1,1,1,0,0,1,457,0,1,458,0
257,136,122,36,1,259,1,0,0,0,1,0,0,2,558,0,1,559,0
258,75,176,26,2,258,2,0,0,0,0,0,0,0,539,0,1,540,0
259,110,231,23,1,195,0,0,0,1,1,0,2,4,568,0,1,569,0
260,97,202,57,1,225,1,0,0,0,1,1,1,2,588,0,3,591,0
261,87,132,71,2,166,2,0,2,0,1,0,0,2,465,0,2,467,0
262,426,85,29,3,145,0,0,1,0,0,0,0,0,689,0,4,693,0
