Polling Station No,AADIRAJARAM,AYSHA,UDHAYANIDHI STALIN,MOHAMMED YASSER,IRFAN BASHA,SELVAM. D,AGNI AALVAR,ATHIMULAM,AYISHA,ARUMUGAM. C,KUMAR. M,SAAMY. S.K. DR,SEENIVASAN. L,SELVAM. K,SELVAM. K,SYEED LAYAK BHASHA,BHARATHKUMAR. G,MILANY. P,MIRZA SAFDER ALI,MOHAMED DHARIK. I,MOHAMED MEERA. A,RAJASEKAR. S,RAJESHKUMAR. K,VIJAYA KUMAR. B,SELVAM ( ALIAS ) VENKATESH,SELVAM ( ALIAS ) HARINARAYANAN,Total Valid Votes,Rejected Votes,NOTA,Total,Tendered Votes
43,14,3,255,1,0,255,3,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,536,0,0,536,0
44,61,11,371,0,0,258,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,705,0,1,706,0
45,39,10,260,0,0,192,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,502,0,2,504,0
46,39,10,241,0,1,366,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,660,0,1,661,0
47,23,2,231,0,0,111,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,371,0,0,371,0
48,44,3,495,1,1,174,1,0,0,0,0,1,0,0,0,1,0,0,2,0,1,2,0,0,0,0,726,0,3,729,0
49,77,11,220,1,1,266,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,581,0,3,584,0
50,32,11,361,1,0,156,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,562,0,0,562,0
51,77,14,364,1,0,238,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,697,0,0,697,0
52,60,13,390,1,0,217,0,0,1,0,0,0,0,1,0,0,1,1,2,0,0,1,0,0,0,0,688,0,1,689,0
53,99,7,222,0,0,305,3,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,640,0,2,642,0
54,33,7,430,4,3,246,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,728,0,1,729,0
55,76,7,237,2,0,214,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,539,0,4,543,0
56,99,9,162,1,0,295,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,569,0,0,569,0
57,59,7,338,4,1,349,4,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,764,0,1,765,0
58,82,21,199,4,0,198,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,1,509,0,3,512,0
59,50,13,327,3,0,225,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,622,0,1,623,0
60,101,10,186,2,0,284,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,585,0,3,588,0
61,58,6,291,0,0,271,0,1,0,0,0,0,0,1,0,2,0,0,0,0,0,0,1,1,0,0,632,0,0,632,0
62,83,6,234,1,1,274,3,0,1,1,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,607,0,5,612,0
63,25,4,316,2,0,163,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,511,0,1,512,0
64,14,8,408,1,2,142,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,576,0,1,577,0
65,4,3,457,2,2,77,1,0,0,1,1,1,0,0,1,1,1,0,0,0,0,1,0,0,1,0,554,0,0,554,0
66,41,10,309,3,0,134,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,499,0,4,503,0
67,54,7,371,0,0,173,3,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,612,0,1,613,0
68,ge 136,9,381,3,1,200,3,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,636,0,3,639,0
69,69,19,239,0,1,176,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,508,0,4,512,0
