Polling Station No,Candidate_1,RAMUK KOHSA.A,NARAHDIRIG.M,MANIHTARINUM.M.A,LIPAK.G,NANAVARAS.K,K.RAKAHDUS,RAMUK LIHTNES .S,HTONIV.R,NADNANA.A,AJARAYALI.S,AMARIBUS.NASARAYIVAK,NANHSIRKALAPOG.N,MAVISAHDAS .V,R.MANAHTNAS,IHTAPUHTES.R,HSENID.M,INALAP.A,INAM.N,YMASINUM.K,MANIHTARINUM.V,NARDNEJAR.T,NAYAJIV.M,NARIDNAHCAMEH.V,Total Valid Votes,Rejected Votes,NOTA,Total,Tendered Votes
15,9,2,127,151,283,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,576,576,0,1,577,0
16,9,1,252,328,31,1,2,1,1,2,0,0,0,0,0,1,1,2,2,1,0,0,1,636,636,0,0,636,0
17,7,0,207,323,45,0,5,0,1,5,0,2,0,1,1,1,0,1,1,0,0,0,0,600,600,0,2,602,0
18,16,2,323,167,338,5,1,1,1,1,0,1,1,4,0,1,0,1,3,2,0,1,3,872,872,0,0,872,0
19,13,0,170,217,138,0,1,1,2,0,1,0,0,0,0,0,0,0,1,0,1,0,0,545,545,0,2,547,0
20,8,0,207,196,139,2,1,0,0,0,0,2,0,3,0,0,0,0,2,1,1,0,0,562,562,0,0,562,0
21,36,0,297,264,95,2,0,2,2,1,1,2,1,4,0,1,1,1,5,1,0,2,1,719,719,0,2,721,0
22,13,1,175,205,80,1,0,0,0,2,0,1,1,0,0,0,0,0,2,1,0,1,5,488,488,0,2,490,0
23,8,0,54,103,423,3,0,0,0,0,0,2,0,0,0,0,0,1,0,0,1,2,1,598,598,0,2,600,0
24,11,0,154,177,251,1,0,0,1,2,0,0,0,1,0,0,0,0,1,0,0,1,1,601,601,0,0,601,0
25,20,0,151,206,345,0,0,0,0,0,1,1,0,1,1,3,0,1,2,2,2,6,1,743,743,0,0,743,0
26,14,1,265,248,235,0,2,0,0,1,0,2,2,1,1,2,1,0,0,4,0,2,0,781,781,0,0,781,0
27,12,0,233,218,156,3,2,0,2,0,0,0,0,1,0,0,0,0,0,1,0,0,0,628,628,0,0,628,0
28,20,4,174,247,371,2,0,1,0,1,1,0,0,0,0,1,0,1,3,0,1,1,0,828,828,0,1,829,0
29,15,1,233,289,79,0,1,0,0,4,1,0,0,1,1,0,0,0,1,2,2,0,0,630,630,0,0,630,0
30,21,0,134,262,396,2,1,2,0,0,1,1,0,1,0,0,1,3,2,0,3,4,0,834,834,0,5,839,0
31,10,0,251,264,125,2,0,1,0,1,0,1,2,2,0,0,2,0,2,1,0,1,0,665,665,0,4,669,0
32,22,0,141,249,96,6,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,517,517,0,3,520,0
33,9,1,130,170,137,4,1,1,1,0,0,1,0,0,0,0,1,0,3,1,1,6,0,467,467,0,1,468,0
34,9,0,82,123,168,4,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,2,0,391,391,0,0,391,0
35,22,0,355,216,49,0,1,0,0,0,0,0,0,1,0,0,1,1,4,1,0,0,0,651,651,0,1,652,0
