Polling Station No,SILAMBARASAN,DR. J.SAILAS,DR A.P. POORNIMA,A.KALYANASUNDARAM,K.N. SEKAR,BALAMURUGAN.G,V. RAMKUMAR,RAJKUMAR,D. JEYAGANESH,M.S. ARUMUGAM,P. ARUMUGAM,G. SAMPATH,K. SEKAR,G.P. SEKAR,PALANI,R.BALAMURUGAN,DR. S.PRAVEEN,D. PUSHPA,S. MADHAVAN,D.K.MESHACK KIRUBAKARAN,VINAYAGAMOORTHY.R,S. JANARTHANAN,JOTHI.M,Total Valid Votes,Rejected Votes,NOTA,Total,Tendered Votes
232,23,8,282,5,41,393,0,0,0,1,0,0,1,2,0,1,1,0,3,0,0,0,0,761,0,2,763,0
233,15,1,210,1,34,425,0,1,0,0,0,0,1,1,2,1,1,0,2,0,1,0,1,697,0,1,698,0
234,13,0,184,4,69,496,1,0,2,0,0,0,0,0,0,1,0,0,2,1,0,1,0,774,0,7,781,0
235,32,3,201,0,75,261,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,574,0,3,577,0
236,32,1,203,1,85,296,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,622,0,4,626,0
237,35,1,209,4,109,480,0,0,0,0,0,0,0,2,1,1,4,0,3,1,0,1,0,851,0,4,855,0
238,39,0,130,2,83,441,1,0,0,0,0,0,0,0,1,3,2,0,0,2,0,0,0,704,0,4,708,0
239,45,1,201,0,101,496,0,0,0,0,0,0,0,0,0,2,1,0,1,0,0,0,0,848,0,4,852,0
240,35,2,193,3,50,493,0,0,1,1,0,1,0,2,0,3,1,0,1,0,0,0,0,786,0,2,788,0
241,36,3,159,2,40,591,1,0,0,0,0,0,0,0,0,2,3,0,1,0,0,0,0,838,0,1,839,0
242,15,2,174,3,26,481,1,0,0,0,0,1,0,0,2,4,0,0,0,1,0,0,0,710,0,0,710,0
243,42,2,262,1,129,419,1,0,0,0,0,0,1,0,0,3,1,0,1,0,0,0,0,862,0,10,872,0
244,23,2,218,1,66,421,0,0,1,0,0,1,0,0,0,2,1,0,0,1,1,1,0,739,0,2,741,0
245,24,3,194,1,59,281,0,1,0,0,0,0,0,1,0,1,1,0,2,1,0,0,0,569,0,0,569,0
246,38,1,237,0,135,314,1,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,730,0,5,735,0
247,13,0,107,0,65,133,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,319,0,1,320,0
248,27,2,196,3,113,450,0,1,1,0,0,0,0,0,0,1,0,0,3,0,0,0,1,798,0,4,802,0
249,41,1,222,2,121,483,2,1,0,1,0,0,0,0,1,2,0,0,0,0,0,0,0,877,0,0,877,0
250,37,2,256,2,112,538,1,0,0,0,0,0,1,0,2,2,2,1,0,0,0,0,0,956,0,7,963,0
251,30,2,178,6,90,457,0,0,2,0,2,0,1,0,0,3,1,0,0,0,0,1,0,773,0,4,777,0
252,31,0,157,2,82,363,0,0,1,0,1,0,1,0,1,2,2,0,1,0,1,1,0,646,0,2,648,0
253,30,0,212,2,93,402,1,0,1,0,0,0,1,0,0,2,0,0,0,0,0,0,1,745,0,3,748,0
254,26,1,256,2,74,516,0,0,0,0,1,0,0,2,0,2,1,1,0,1,0,1,0,884,0,1,885,0
255,27,1,222,3,115,382,0,0,1,1,0,0,1,0,1,1,0,1,0,0,0,1,1,758,0,5,763,0
256,17,0,110,0,58,149,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,338,0,8,346,0
257,23,0,258,0,72,438,1,0,0,0,1,0,1,1,0,2,0,1,1,1,0,0,0,800,0,1,801,0
258,17,0,179,1,110,182,0,0,0,1,0,0,2,0,0,0,0,1,0,0,0,0,0,493,0,2,495,0
259,23,1,115,0,77,188,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,405,0,4,409,0
260,26,0,210,1,171,259,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,669,0,4,673,0
261,22,1,222,0,92,273,0,1,0,0,0,1,1,0,0,2,2,0,0,0,0,0,0,617,0,8,625,0
262,26,2,203,0,124,269,0,0,0,0,0,1,2,0,0,0,1,0,0,0,0,0,1,629,0,6,635,0
263,32,1,197,3,106,223,1,0,0,0,0,0,0,1,1,6,0,0,0,0,0,0,0,571,0,3,574,0
264,15,0,149,1,69,263,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,1,502,0,8,510,0
265,18,1,208,0,60,266,0,0,0,1,0,0,0,0,1,2,0,0,0,0,1,0,0,558,0,4,562,0
266,30,0,180,1,66,308,0,0,0,1,0,0,0,1,1,1,2,1,1,0,0,0,0,593,0,2,595,0
267,29,0,179,0,52,305,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,566,0,2,568,0
268,25,0,218,1,57,314,1,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,620,0,1,621,0
269,21,4,185,1,95,280,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,1,0,591,0,4,595,0
270,36,1,210,1,123,327,3,2,1,0,0,0,0,1,0,4,0,0,1,0,0,0,0,710,0,6,716,0
271,24,3,205,1,77,353,0,0,0,1,0,0,0,0,0,1,2,0,0,0,0,1,0,668,0,3,671,0
272,30,2,173,0,75,341,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,621,0,2,623,0
273,12,0,194,1,61,234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,502,0,4,506,0
274,41,3,195,1,83,355,0,0,0,0,1,0,0,0,0,3,1,0,0,0,0,0,0,683,0,2,685,0
275,32,1,179,0,71,353,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,637,0,3,640,0
276,42,2,181,1,92,394,1,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,717,0,2,719,0
277,28,0,276,3,59,412,0,0,1,0,0,0,1,1,2,1,0,0,0,1,1,2,1,789,0,1,790,0
278,33,2,186,3,47,397,1,0,2,1,0,1,0,0,0,3,1,0,0,0,0,0,0,677,0,1,678,0
279,31,1,220,0,112,343,2,0,0,0,3,0,0,0,0,0,0,0,0,1,1,0,0,714,0,6,720,0
280,31,1,162,0,64,267,1,0,1,0,0,0,0,1,0,0,4,0,0,0,0,1,0,533,0,8,541,0
281,33,1,189,2,95,346,0,1,0,3,0,0,0,0,0,1,4,1,1,2,0,0,0,679,0,8,687,0
282,20,0,209,0,85,407,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,723,0,4,727,0
283,22,1,209,0,106,421,1,0,0,0,1,0,0,0,1,1,1,0,1,1,0,1,0,767,0,1,768,0
284,32,1,186,2,110,438,0,2,0,0,0,1,1,0,0,0,1,0,0,1,1,0,0,776,0,2,778,0
285,31,2,243,2,139,507,1,0,0,1,0,3,0,2,0,1,1,1,0,0,1,0,0,935,0,6,941,0
286,35,0,139,2,100,519,2,0,0,1,2,0,0,0,1,2,3,0,1,0,1,3,1,812,0,4,816,0
287,20,0,201,1,101,455,2,0,0,0,0,1,0,1,0,2,1,0,2,0,0,2,0,789,0,7,796,0
288,38,2,217,2,89,566,0,0,0,0,1,0,1,0,3,2,1,0,0,1,0,0,2,925,0,1,926,0
289,20,1,237,1,86,279,0,1,0,0,0,0,0,1,0,0,2,0,1,0,0,0,0,629,0,2,631,0
290,20,0,233,0,128,250,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,633,0,2,635,0
291,29,1,220,2,146,251,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,652,0,8,660,0
292,30,0,243,2,100,217,1,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,596,0,6,602,0
293,24,0,264,3,110,245,2,1,2,0,0,0,0,0,0,1,0,0,0,0,0,2,0,654,0,8,662,0
294,24,1,265,0,96,192,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,582,0,5,587,0
295,16,1,201,4,70,337,1,0,0,0,0,0,1,0,1,1,2,0,1,1,1,1,0,639,0,4,643,0
296,33,1,213,2,85,378,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,716,0,5,721,0
297,46,0,197,1,122,436,0,1,0,0,0,0,0,0,0,3,1,0,0,1,0,0,0,808,0,3,811,0
298,24,2,218,1,118,443,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,808,0,7,815,0
299,25,1,154,1,69,305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,556,0,2,558,0
300,23,0,174,1,75,291,0,2,0,1,0,0,1,0,0,0,0,0,0,0,0,2,0,570,0,1,571,0
301,43,1,187,0,107,331,0,0,0,0,1,0,0,0,0,2,2,0,2,0,0,1,1,678,0,5,683,0
302,32,3,244,1,76,448,2,0,0,1,0,0,0,1,0,1,2,0,1,1,0,0,1,814,0,6,820,0
303,48,1,186,4,85,435,1,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,764,0,1,765,0
304,30,1,160,3,75,395,0,0,1,1,0,1,0,1,0,1,0,0,2,1,0,0,0,672,0,0,672,0
305,27,1,173,3,79,351,0,1,0,1,0,0,0,0,2,1,1,1,2,0,0,0,0,643,0,2,645,0
306,37,3,248,0,132,263,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,686,0,11,697,0
307,23,0,198,0,100,255,3,0,0,1,0,0,0,0,0,1,0,1,1,1,0,0,2,586,0,6,592,0
308,25,1,170,0,75,228,0,0,0,0,0,0,1,0,0,0,2,0,0,2,0,0,1,505,0,9,514,0
309,52,1,215,3,109,220,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,603,0,11,614,0
310,24,0,200,0,77,279,1,0,0,0,0,0,0,0,0,3,1,0,0,1,1,0,0,587,0,4,591,0
311,48,0,216,1,65,467,1,0,0,1,0,1,0,0,1,5,0,0,0,0,0,0,0,806,0,4,810,0
312,31,3,196,2,84,530,3,0,0,2,2,0,0,0,0,4,1,0,0,1,0,1,0,860,0,1,861,0
313,26,1,184,1,89,163,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,466,0,6,472,0
314,21,3,234,2,99,238,1,1,0,1,0,1,0,0,1,2,0,0,0,0,0,0,0,604,0,10,614,0
315,23,1,232,1,81,298,0,0,0,0,0,0,0,0,0,1,3,1,0,0,0,0,1,642,0,5,647,0
316,30,2,282,1,128,326,1,0,0,0,0,2,0,0,0,1,0,0,1,0,0,1,1,776,0,6,782,0
317,34,0,184,0,110,158,1,0,0,1,0,0,1,1,0,1,3,0,1,0,0,0,0,495,0,6,501,0
318,26,1,297,0,66,305,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,697,0,5,702,0
319,25,1,230,1,79,246,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,585,0,10,595,0
320,32,5,225,1,81,472,1,0,0,0,0,0,1,1,0,1,1,0,0,4,0,2,1,828,0,4,832,0
321,23,1,259,2,115,266,1,0,0,1,1,2,0,2,0,0,0,0,0,1,0,0,0,674,0,2,676,0
322,20,1,137,1,33,299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,491,0,1,492,0
323,43,3,260,3,84,454,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,1,854,0,3,857,0
324,41,0,208,5,61,433,2,1,0,0,1,0,0,0,0,5,1,0,0,1,0,0,0,759,0,2,761,0
325,34,4,273,1,151,323,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,1,0,791,0,6,797,0
326,40,4,258,0,82,416,1,0,0,0,0,0,0,0,0,3,5,0,0,0,0,0,0,809,0,11,820,0
327,25,3,197,0,73,337,0,0,0,0,0,0,1,0,1,1,2,0,0,0,1,1,0,642,0,3,645,0
328,20,1,132,4,74,320,1,0,0,0,1,0,0,1,1,1,1,0,0,0,0,0,1,558,0,0,558,0
329,24,0,150,0,73,184,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,435,0,3,438,0
330,36,3,170,1,69,403,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,686,0,5,691,0
331,33,2,243,1,81,328,1,0,0,0,2,1,0,0,0,0,0,0,1,0,1,0,1,695,0,8,703,0
332,43,1,323,1,157,366,0,0,0,0,0,0,0,1,1,1,3,0,2,1,0,0,0,900,0,4,904,0
333,37,1,175,3,61,413,2,0,0,0,0,0,0,0,1,1,1,0,1,1,1,0,1,699,0,0,699,0
334,29,1,242,1,123,358,0,0,0,0,0,1,1,0,0,2,2,1,0,0,1,0,0,762,0,4,766,0
335,29,3,229,0,118,311,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,692,0,5,697,0
336,51,1,203,3,81,475,1,0,1,0,1,1,0,0,0,1,4,0,1,0,0,2,0,826,0,2,828,0
337,38,3,184,0,153,320,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,700,0,3,703,0
338,37,2,157,0,72,296,1,0,1,1,0,0,2,0,0,0,1,0,0,0,0,0,0,570,0,4,574,0
339,37,1,148,1,71,379,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,641,0,0,641,0
340,28,2,160,2,66,345,1,1,0,1,2,0,2,2,0,2,1,0,0,1,0,0,0,616,0,4,620,0
341,44,0,202,0,77,416,1,0,0,1,0,1,0,0,0,3,1,0,1,0,0,0,0,747,0,2,749,0
342,28,1,134,4,91,416,2,0,1,0,1,0,1,0,0,1,1,0,0,0,0,0,0,681,0,4,685,0
343,29,4,160,4,98,402,1,0,0,1,1,0,0,0,0,0,2,1,1,1,1,2,2,710,0,1,711,0
344,23,0,138,0,47,302,1,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,515,0,1,516,0
345,36,2,175,1,73,339,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,1,0,630,0,6,636,0
346,22,0,141,5,70,292,0,0,0,0,1,0,0,0,0,1,2,0,0,0,0,0,0,534,0,1,535,0
347,28,1,186,4,84,407,0,0,0,0,0,0,0,1,0,3,0,0,0,1,0,0,0,715,0,0,715,0
348,27,0,238,3,74,442,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,788,0,2,790,0
349,38,0,202,4,52,245,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,543,0,3,546,0
350,26,2,184,2,63,263,0,1,0,1,0,0,0,0,0,3,1,0,0,0,0,0,0,546,0,1,547,0
351,17,1,164,1,68,247,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,501,0,4,505,0
352,36,1,251,1,75,341,4,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,712,0,4,716,0
353,19,0,204,2,54,283,1,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,1,568,0,4,572,0
354,40,2,215,0,69,447,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,777,0,2,779,0
355,14,2,177,0,57,225,1,0,0,0,0,0,1,0,0,1,2,0,0,0,1,0,0,481,0,4,485,0
356,25,1,203,0,73,238,2,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,544,0,2,546,0
357,23,6,233,1,81,363,0,0,1,1,0,0,0,0,0,0,0,0,2,0,0,0,0,711,0,1,712,0
358,44,1,205,2,52,370,1,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,679,0,10,689,0
359,25,2,184,0,54,217,0,0,0,1,0,1,0,0,2,0,1,1,1,0,0,0,0,489,0,5,494,0
360,35,0,232,2,59,327,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,658,0,4,662,0
361,25,0,195,1,74,368,0,0,0,0,0,0,0,0,0,2,1,0,1,1,1,0,0,669,0,4,673,0
362,23,1,194,0,69,341,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,630,0,5,635,0
363,27,1,182,2,56,319,0,0,0,2,0,0,0,0,0,0,1,0,1,0,0,0,1,592,0,4,596,0
364,28,1,260,0,74,385,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,1,753,0,4,757,0
365,32,3,304,2,107,323,2,1,0,0,1,0,1,0,0,1,4,0,0,0,0,0,0,781,0,4,785,0
