Polling Station No,S.GOKULA INDIRA,S.SHANKAR,N.CHITRARASU,B.ANAND,S.DHAYALAN,V.K.RAMKUMAR,E.V.S.RAJAKUMAR NAIDU,N.P.RAJHA,T S HABEEB MOHAMMAD,S ANSAR ALI,G OMPRAKASH,L KASINATHAN,S SATHISH KUMAR,G.SIVA KUMAR,M SELVAMUTHUKUMAR,L NARENDRAN,J NAGARAJ,M MANOHARAN,MOHAMMED BILAL FATHICK,RAMAMOORTHY E,RAJENDIRAN NAIDU,S VINESH KUMAR,JANARTHANAN P,M HARISHANKAR,Total Valid Votes,Rejected Votes,NOTA,Total,Tendered Votes
158,100,7,118,0,1,175,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,404,0,0,404,0
159,119,14,170,1,0,247,0,0,2,0,0,0,0,0,0,0,1,0,1,0,3,9,1,0,568,0,3,571,0
160,71,8,136,1,0,167,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,4,0,389,0,4,393,0
161,80,6,209,1,0,179,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,478,0,3,481,0
162,109,15,189,2,1,209,0,0,1,0,0,0,0,0,0,1,2,0,0,0,0,0,1,1,531,0,3,534,0
163,139,21,162,0,1,253,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,3,0,1,583,0,7,590,0
164,117,11,152,0,0,206,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,489,0,3,492,0
165,131,20,262,1,0,258,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,675,0,4,679,0
166,132,18,166,0,0,221,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,540,0,1,541,0
167,162,15,187,0,0,199,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,564,0,6,570,0
168,124,15,161,0,2,252,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,3,1,2,563,0,6,569,0
169,88,14,178,0,1,309,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,3,0,0,596,0,0,596,0
170,132,22,209,0,1,284,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,652,0,1,653,0
171,126,47,245,0,3,291,2,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,718,0,2,720,0
172,155,29,217,0,0,270,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,674,0,1,675,0
173,188,10,261,1,0,308,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,769,0,1,770,0
174,98,21,288,1,1,279,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,692,0,4,696,0
175,185,23,196,1,0,185,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,593,0,7,600,0
176,163,20,151,1,1,357,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,694,0,1,695,0
177,185,29,158,0,2,302,0,0,0,0,0,0,0,1,0,2,0,1,0,0,0,0,1,3,684,0,8,692,0
178,161,23,222,0,0,301,1,1,0,0,2,0,1,0,0,0,1,0,0,0,0,0,0,0,713,0,0,713,0
179,187,23,164,0,0,370,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,2,0,0,750,0,3,753,0
180,149,23,213,1,1,216,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,605,0,7,612,0
181,136,19,189,0,0,269,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,618,0,5,623,0
