Polling Station No,DURAI CHANDRASEKAR,SANTHOSHKUMAR.J,BALARAMAN.P,RAJATHI.M,ASHOK PRIYADARSHAN,RAJA.S,KOTTEESWARAN. K,MALATHI.S,DR.RAVI.M.S,NAGAIYAN.G,BARATHIRAJA.K,RAJASEKAR.J,VENKATESAN.S,Total Valid Votes,Rejected Votes,NOTA,Total,Tendered Votes
178,176,2,105,33,0,1,0,0,388,2,0,0,0,707,0,1,708,0
179,234,1,134,30,0,0,1,0,283,1,0,2,0,686,0,2,688,0
180,615,4,87,19,0,0,0,2,347,0,0,0,0,1074,0,5,1079,0
181,313,0,83,14,1,0,0,1,440,1,0,0,1,854,0,7,861,0
182,60,6,68,15,0,0,0,1,169,0,0,0,0,319,0,0,319,0
183,318,1,66,12,0,0,0,0,420,2,0,1,1,821,0,3,824,0
184,157,0,64,21,3,1,2,0,230,0,0,0,1,479,0,2,481,0
185,240,1,168,31,3,1,0,2,579,0,1,3,1,1030,0,0,1030,0
186,288,3,122,10,0,0,0,1,338,0,1,0,0,763,0,3,766,0
187,86,1,70,21,0,0,0,0,201,0,0,0,0,379,0,1,380,0
188,132,4,158,21,0,0,0,0,275,1,0,1,0,592,0,2,594,0
189,172,1,156,24,0,0,0,0,374,0,0,1,0,728,0,3,731,0
190,117,0,87,20,1,1,0,0,242,0,0,1,1,470,0,4,474,0
191,181,3,247,33,4,0,2,2,509,0,1,2,1,985,0,8,993,0
192,155,2,162,7,0,1,0,2,365,1,1,3,0,699,0,0,699,0
193,118,1,97,27,0,1,0,2,296,1,0,2,1,546,0,1,547,0
194,216,2,100,26,0,0,0,0,427,1,0,0,0,772,0,6,778,0
195,115,1,110,22,2,1,0,1,310,0,0,1,1,564,0,2,566,0
196,117,0,55,22,0,0,0,0,190,0,0,0,0,384,0,0,384,0
197,131,2,138,14,1,1,0,1,268,0,0,1,0,557,0,3,560,0
198,146,4,93,29,1,0,0,3,314,1,1,0,0,592,0,2,594,0
199,118,2,78,23,1,0,1,1,252,1,0,0,0,477,0,2,479,0
200,194,6,110,21,3,0,2,0,290,1,1,0,0,628,0,2,630,0
201,127,1,75,9,0,0,0,0,194,0,1,1,0,408,0,4,412,0
202,134,0,113,22,0,0,1,1,262,2,0,1,0,536,0,1,537,0
203,154,0,239,19,0,0,0,2,355,1,1,2,0,773,0,6,779,0
204,120,1,138,27,1,3,1,2,438,0,0,1,2,734,0,3,737,0
205,147,4,163,25,0,3,1,3,436,2,1,2,0,787,0,4,791,0
206,109,1,114,45,0,2,1,0,302,1,0,0,0,575,0,0,575,0
207,125,3,110,21,1,0,1,0,252,1,0,2,0,516,0,6,522,0
208,123,4,85,29,0,0,0,1,261,1,0,1,0,505,0,4,509,0
209,236,1,156,21,1,0,0,0,435,1,1,2,0,854,0,4,858,0
210,134,2,138,26,0,2,0,1,332,0,0,0,1,636,0,2,638,0
211,74,2,84,11,0,1,0,0,215,0,0,0,2,389,0,1,390,0
212,135,2,214,42,3,2,0,3,340,4,2,2,0,749,0,8,757,0
213,88,1,133,13,0,1,1,1,307,1,1,2,0,549,0,4,553,0
214,187,2,154,40,0,0,1,3,459,0,0,1,1,848,0,5,853,0
215,252,12,169,18,0,2,0,0,405,1,0,0,0,859,0,3,862,0
216,222,0,73,32,1,2,1,0,387,1,0,2,0,721,0,4,725,0
217,164,1,63,10,1,1,0,1,300,0,0,0,1,542,0,1,543,0
218,264,2,98,27,0,1,0,1,380,1,0,1,0,775,0,2,777,0
219,184,4,130,15,0,1,0,0,408,0,0,0,0,742,0,2,744,0
220,219,2,66,22,1,1,1,1,326,0,0,1,0,640,0,1,641,0
221,309,2,97,41,1,0,0,1,510,0,0,1,1,963,0,3,966,0
222,178,1,80,34,1,0,0,0,455,0,0,0,0,749,0,5,754,0
223,265,4,81,19,0,0,0,0,257,1,0,1,1,629,0,0,629,0
224,151,1,87,14,0,0,0,1,327,0,0,0,0,581,0,2,583,0
225,132,0,54,22,1,0,0,1,357,1,0,1,0,569,0,2,571,0
226,212,0,81,20,1,2,2,5,572,1,0,2,2,900,0,1,901,0
227,176,1,110,32,0,1,0,1,379,0,1,0,0,701,0,4,705,0
228,99,2,50,17,0,1,0,2,367,0,0,0,0,538,0,0,538,0
229,93,0,62,10,1,0,1,1,291,2,0,1,0,462,0,1,463,0
230,130,0,45,11,0,0,0,1,176,0,0,0,0,363,0,3,366,0
231,340,0,65,25,1,0,1,1,455,0,0,0,1,889,0,3,892,0
232,246,3,111,30,0,3,0,0,308,1,0,0,0,702,0,0,702,0
233,320,1,148,54,0,0,0,0,425,1,0,1,0,950,0,2,952,0
234,299,2,177,24,3,2,0,4,480,2,0,1,0,994,0,4,998,0
235,181,2,76,28,1,0,0,3,559,0,0,0,0,850,0,1,851,0
236,208,2,120,15,1,0,0,2,413,0,0,1,1,763,0,3,766,0
237,103,2,58,22,0,1,1,0,292,0,1,1,0,481,0,3,484,0
238,129,0,124,21,0,0,0,2,230,0,0,1,0,507,0,1,508,0
239,268,1,278,22,1,0,0,1,407,1,1,2,1,983,0,6,989,0
240,190,1,134,23,3,0,0,1,509,1,1,2,1,866,0,6,872,0
241,128,3,90,27,0,1,0,1,430,0,1,1,3,685,0,3,688,0
242,89,1,160,33,1,0,0,0,350,0,0,1,1,636,0,3,639,0
243,104,0,79,23,0,0,1,3,222,0,1,1,0,434,0,4,438,0
244,133,2,116,17,0,0,0,0,396,3,0,0,1,668,0,3,671,0
245,208,0,135,29,0,1,0,0,317,0,1,0,0,691,0,4,695,0
246,79,2,150,22,1,0,0,0,378,1,1,0,0,634,0,2,636,0
247,161,0,68,18,0,0,0,0,202,2,0,0,2,453,0,4,457,0
248,214,0,118,42,0,0,0,1,447,0,0,1,0,823,0,3,826,0
249,105,0,77,18,0,0,1,0,161,1,0,0,0,363,0,2,365,0
250,152,2,103,25,0,0,1,0,248,1,0,0,0,532,0,3,535,0
251,174,1,236,27,0,0,2,0,440,0,0,1,0,881,0,5,886,0
252,117,1,94,26,0,0,0,0,364,0,0,1,0,603,0,2,605,0
