Polling Station No,Candidate_1,IHCTAK M DNIVARA RALIMAT MAAN,YTRAP V JAMAS NAMAR NAJUHAB,ARTENNUM ADIVARD MAGAHZAK S RAKES ANNA AIDNI LLA,MAGAHZAK S K ARTENNUM YIHTROOM ADIVARD,ADIVARD AMMA MAGAHZAK S RAVIALAHT USARAVLES ARTENNUM IHCTARUP ANNA,IHCTAK IAMIRUVHZAAV V AJALIAHS AGAHZIMAT,MAGAHZAK A RAMUKADNAN IRTTEV AGALIMAT,LAKKAM ADIVARD IHCTAK P MAIKKAB ANNA LAYES AYIHTNIHTIANA,LAKKAM R K RAVIALAHTIHCTARUP MAGAHZAK IJAALAHBAYRUS ARTTENNUM YAJIV AIDNI LLA,N TNEDNEPEDNI YMASAMAR,S TNEDNEPEDNI YMASADNAK,TNEDNEPEDNI R KIHTRAK,TNEDNEPEDNI G NALAPOG,K TNEDNEPEDNI NASRAHDUS,TNEDNEPEDNI R HSERUS,TNEDNEPEDNI C RAKES,TNEDNEPEDNI V RAKES,M TNEDNEPEDNI USARAGNAHT,S IRAWHSEMARAP TNEDNEPEDNI,S TNEDNEPEDNI YMASINALAP,TNEDNEPEDNI R IJALAB,TNEDNEPEDNI K PAHTARP,M RAMUK TNEDNEPEDNI JONAM,TNEDNEPEDNI M IHTRUM,TNEDNEPEDNI M IHTROOM,TNEDNEPEDNI K HTIJNAR,TNEDNEPEDNI P HSEMAR,TNEDNEPEDNI R HSEMAR,TNEDNEPEDNI R AJAR,TNEDNEPEDNI A AHTAL,A RAMUKAYAJIV TNEDNEPEDNI,Total Valid Votes,Rejected Votes,NOTA,Total,Tendered Votes
54,54,76,2,208,273,0,2,172,0,1,0,0,1,0,0,1,1,1,0,1,2,0,0,1,0,0,0,0,0,1,0,1,744,0,2,746,0
55,55,15,0,177,123,1,1,107,0,0,1,0,0,0,0,0,1,0,0,1,0,1,2,0,0,0,0,0,0,1,0,0,431,0,1,432,0
56,56,14,1,224,236,0,0,198,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,4,0,0,0,0,0,1,0,0,681,0,2,683,0
57,57,4,1,170,171,3,1,75,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,428,0,1,429,0
58,58,3,1,175,76,0,0,29,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,288,0,2,290,0
59,59,17,2,204,233,1,1,218,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,680,0,2,682,0
60,60,26,2,171,208,2,11,145,2,3,0,0,1,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,575,0,2,577,0
61,61,23,2,186,291,1,1,187,0,0,1,0,0,0,0,2,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,700,0,2,702,0
62,62,9,0,187,167,1,0,161,0,1,0,0,0,0,0,0,1,0,0,0,3,0,0,1,0,0,1,0,0,0,1,0,533,0,1,534,0
63,63,8,0,188,294,1,0,113,0,0,0,1,0,0,0,0,1,2,0,0,2,0,1,0,1,1,0,0,0,1,0,0,614,0,0,614,0
64,64,14,0,206,211,1,2,219,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,658,0,1,659,0
65,65,10,1,193,164,1,1,237,3,0,0,1,0,2,1,0,3,0,1,0,1,0,0,9,0,0,2,1,0,1,0,1,633,0,4,637,0
66,66,20,0,302,368,2,1,220,1,1,0,1,0,1,0,0,1,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,922,0,4,926,0
67,67,6,1,205,193,0,0,98,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,505,0,0,505,0
68,68,25,1,274,378,2,0,215,0,0,0,0,0,3,1,2,1,1,2,0,1,0,0,1,0,2,0,0,0,0,1,0,910,0,1,911,0
69,69,9,0,165,158,0,0,103,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,1,0,0,0,440,0,3,443,0
70,70,26,1,298,385,0,1,205,1,2,0,1,0,3,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,927,0,1,928,0
71,71,22,0,511,275,2,0,179,0,0,1,1,0,1,0,0,1,1,0,3,0,0,1,2,0,0,0,0,1,0,0,0,1001,0,1,1002,0
72,72,28,1,376,311,1,0,168,0,0,0,0,0,0,3,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,891,0,2,893,0
