Polling Station No,Candidate_1,R .OGNALE,S .AYNAGUS,K .RAMUKAVLES,S .NERAN,MUGEB AYISA,P .NAYEKIHTRAK,R .LEVIHTKAS,GA .IVAR,G .INAMUSARA,M .NAGALAVIRA,M .NASERIHTAK,T .USARAYIVAK,S .HTNANABURIK,P .NASARABMALIS,T .MAGNILAVIS,R .AYIMWOS,M .NASARALIMAT,P .NAJARATAN,RAMUKARDNERAN G .,V .UHTUMIHCTAN,S .NEEVARP,S .YHTAPOOB,T .NADNAKINAM,P .NAGALAYIHTAM,R .NASEGURUM,K .RAMUKNAHOM,S .IHTAPUGAR,V .MAGNILAMAR,N .NARAKESAJAR,N .NARADNEJAR,Total Valid Votes,Rejected Votes,NOTA,Total,Tendered Votes
246,246,234,4,288,23,1,122,0,0,0,0,0,0,1,1,1,0,5,4,2,1,0,1,0,0,1,0,0,0,0,1,690,0,1,691,0
247,247,221,4,297,28,1,191,0,5,0,0,0,0,0,0,1,1,2,4,1,0,0,0,1,0,0,0,0,0,0,0,757,0,2,759,0
248,248,171,2,280,21,2,135,0,0,1,0,0,1,1,1,0,5,1,2,0,0,1,0,1,0,0,1,0,0,0,1,627,0,4,631,0
249,249,295,1,252,20,0,185,7,0,0,0,0,0,2,0,0,5,4,4,2,0,0,2,2,0,0,0,1,0,1,1,784,0,6,790,0
250,250,224,2,147,21,0,162,0,0,0,1,1,0,0,0,1,1,3,1,3,1,0,1,0,1,0,0,0,1,1,1,573,0,1,574,0
251,251,334,3,265,19,2,313,17,0,0,0,0,0,0,0,0,0,2,1,0,0,0,2,0,0,0,0,0,0,0,1,959,0,2,961,0
252,252,224,0,246,12,2,279,0,0,1,1,2,0,0,4,3,2,5,4,3,0,0,3,0,1,0,0,1,0,2,2,797,0,4,801,0
253,253,254,2,235,34,5,354,2,0,1,0,1,0,0,0,2,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,894,0,2,896,0
254,254,200,2,164,11,0,235,4,0,1,0,0,1,4,3,1,2,2,1,1,0,0,1,0,0,2,0,1,1,1,0,638,0,0,638,0
255,255,157,2,181,26,0,145,1,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,1,0,516,0,0,516,0
256,256,147,3,171,13,1,168,1,1,0,0,0,1,1,2,0,2,2,1,0,0,0,2,1,0,0,0,0,0,2,0,519,0,0,519,0
257,257,107,1,106,12,0,140,0,0,1,0,0,0,0,0,1,1,3,0,0,0,0,2,0,0,0,0,0,0,1,0,375,0,0,375,0
258,258,576,1,72,15,0,171,2,0,0,0,0,0,0,1,0,1,2,0,0,0,0,4,0,0,0,0,0,0,0,0,845,0,2,847,0
259,259,335,3,252,22,1,276,0,0,0,0,0,1,0,0,1,4,3,2,0,0,0,0,0,0,0,3,1,0,1,0,905,0,2,907,0
260,260,321,2,292,16,2,196,10,0,1,0,0,0,0,0,0,4,3,6,4,1,0,2,2,1,0,0,2,1,0,0,866,0,0,866,0
261,261,161,2,115,4,1,72,1,0,0,0,0,0,0,0,2,1,1,1,0,1,0,2,0,0,0,0,2,0,0,0,366,0,4,370,0
262,262,195,3,233,27,1,289,2,3,0,0,0,0,1,1,0,4,1,2,2,1,1,2,1,0,0,0,0,1,2,0,772,0,3,775,0
263,263,316,4,200,19,1,197,2,1,2,0,0,0,0,2,3,2,2,3,5,1,1,4,0,0,0,0,0,2,1,1,769,0,4,773,0
264,264,190,3,202,14,1,222,1,0,0,1,0,1,0,1,0,1,2,0,0,0,0,3,0,1,0,0,0,0,0,1,644,0,4,648,0
265,265,182,2,197,17,0,223,1,0,0,0,1,0,0,0,0,1,3,4,1,1,1,1,0,0,0,1,0,0,1,0,637,0,7,644,0
266,266,180,3,236,13,2,222,0,0,0,0,0,0,0,0,2,1,1,1,1,1,1,2,1,0,0,0,0,0,0,0,667,0,4,671,0
267,267,331,2,192,7,2,306,0,0,0,0,0,0,0,1,0,1,1,3,0,3,1,4,0,0,0,0,0,0,1,2,857,0,2,859,0
