Polling Station No,Candidate_1,P YMASAMAR,K RAMUKNEEVARP,S P NAHOM IVEDIRS,P INAR,A NAYIHTIDAA,T HSEMAR NAIHDNAG,P NANNAKHSERUS,R NAJARAGAYIHT,S C PILID,P M YMASINALAP,P NARDNEHAM,C NARAWSEHTAM,T RAMUKHSENIBA,S HTNIVARA,K JARAKANAK,P ARDNAHC,M NAJARATAN,V USARAIVAKIJATEN,R NADNAKINAM,S YMASUHTUM,S NAHOM,P NAHOM,M NAHOM,A HSEMAR,R RAMUKAYAJ,M NAMARAYAJ,R NILATS,Total Valid Votes,Rejected Votes,NOTA,Total,Tendered Votes
108,108,1,12,313,147,0,0,1,1,211,0,0,0,0,0,0,0,0,0,2,0,0,1,1,0,2,0,0,692,0,2,694,0
109,109,1,10,169,201,1,1,2,1,227,1,3,1,0,0,5,6,2,0,0,0,0,2,0,1,2,0,1,637,0,2,639,0
110,110,1,14,239,146,0,0,1,4,258,1,1,1,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,670,0,1,671,0
111,111,1,19,282,131,0,0,0,0,122,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,558,0,3,561,0
112,112,5,16,328,233,1,0,0,2,304,2,0,0,2,3,0,0,0,0,2,1,1,0,0,1,1,1,0,903,0,0,903,0
113,113,0,33,315,266,0,0,0,2,274,3,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,897,0,1,898,0
114,114,0,7,172,115,0,0,1,0,59,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,355,0,0,355,0
115,115,0,20,185,139,1,0,0,0,119,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,467,0,0,467,0
116,116,2,20,288,148,2,0,0,1,187,1,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0,1,655,0,1,656,0
117,117,2,25,299,193,3,2,1,4,338,0,1,1,0,0,0,1,1,1,2,0,1,0,0,1,1,0,0,877,0,3,880,0
118,118,2,27,211,229,3,4,1,1,335,3,2,2,3,2,1,4,1,1,1,0,0,2,0,2,1,1,0,839,0,5,844,0
119,119,0,5,132,77,0,0,0,3,138,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,358,0,1,359,0
120,120,1,28,401,176,4,0,0,1,321,2,1,2,1,3,1,0,1,0,1,3,1,1,0,1,0,1,0,o lat 951,R fo 0,1,oT 952,T fo 0
121,121,0,16,281,97,1,0,0,1,220,2,0,2,5,0,0,1,0,0,3,3,0,0,0,2,2,1,0,oT 637,.oN 0,4,641,.oN 0
122,122,0,35,367,237,1,0,0,1,394,2,0,0,4,0,2,6,2,0,1,2,2,0,0,0,0,0,0,1056,0,7,1063,0
123,123,0,9,382,102,3,0,1,0,172,0,1,3,1,3,1,1,1,0,0,0,1,0,0,0,2,0,0,683,0,1,684,0
124,124,3,46,310,158,1,1,0,0,286,1,0,0,0,0,0,0,0,0,0,8,1,0,0,1,1,0,0,817,0,4,821,0
125,125,1,14,140,137,2,0,1,0,112,0,0,0,1,0,0,0,1,0,0,2,0,0,0,0,0,0,0,411,0,3,414,0
126,126,0,13,152,104,1,2,0,0,129,0,0,0,0,1,0,2,0,0,1,0,0,0,0,0,0,0,0,405,0,3,408,0
127,127,0,9,118,158,1,0,0,1,240,2,1,0,2,0,2,1,0,0,1,1,1,0,0,1,0,0,0,539,0,0,539,0
128,128,0,23,89,191,1,0,0,2,258,1,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,569,0,1,570,0
129,129,2,14,226,113,2,1,1,2,376,3,0,1,0,1,2,3,1,0,1,1,0,0,2,0,1,1,0,754,0,1,755,0
130,130,2,8,92,96,0,0,0,1,114,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,1,0,1,319,0,3,322,0
131,131,3,17,216,156,0,0,1,0,231,0,0,0,1,0,1,1,1,0,0,1,0,0,1,0,0,0,0,630,0,2,632,0
132,132,0,31,306,221,1,0,0,0,260,1,0,0,0,1,0,0,5,0,0,0,0,1,0,0,1,0,1,829,0,7,836,0
133,133,1,24,324,168,2,0,0,0,411,0,0,0,1,0,1,0,0,2,1,2,0,1,0,1,0,0,0,939,0,4,943,0
134,134,0,20,176,116,2,0,1,1,215,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,2,0,1,536,0,2,538,0
135,135,5,20,290,261,1,1,0,0,386,1,1,2,2,0,1,7,1,0,0,2,0,0,1,0,0,0,1,983,0,2,985,0
136,136,0,14,185,124,0,0,0,0,165,0,0,0,0,1,1,1,0,1,0,0,1,0,0,1,0,1,0,495,0,1,496,0
137,137,1,23,279,216,0,1,0,1,303,1,0,0,1,1,0,1,0,0,1,0,0,1,0,0,0,0,0,830,0,5,835,0
138,138,1,20,331,214,2,1,0,1,213,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,2,788,0,1,789,0
139,139,1,26,170,137,0,1,1,0,282,1,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,1,624,0,2,626,0
140,140,0,23,164,174,1,0,0,2,460,1,0,0,0,0,0,3,1,0,1,2,0,1,0,0,0,0,0,833,0,1,834,0
141,141,3,23,230,154,2,1,0,3,330,0,0,0,0,0,1,3,1,0,1,0,1,1,1,0,2,0,0,757,0,1,758,0
142,142,0,24,215,188,0,1,1,3,417,2,0,0,1,3,1,1,2,2,0,1,0,0,1,0,0,1,1,865,0,1,866,0
143,143,1,27,143,105,1,0,0,1,296,1,0,0,0,0,1,3,1,1,0,0,1,0,1,0,0,0,0,583,0,4,587,0
144,144,0,26,162,105,0,1,0,3,213,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,514,0,0,514,0
145,145,0,27,284,144,0,1,0,1,259,2,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,721,0,10,731,0
146,146,1,17,184,145,0,0,0,1,223,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,1,0,575,0,2,577,0
147,147,2,18,237,143,1,2,1,2,278,1,0,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,689,0,4,693,0
148,148,0,38,235,152,1,0,0,1,268,0,0,0,0,0,0,1,5,0,1,0,0,1,0,1,1,0,0,705,0,1,706,0
149,149,0,34,226,157,0,0,0,3,331,1,0,0,1,0,0,4,2,0,1,0,0,0,0,0,2,0,1,763,0,3,766,0
150,150,0,32,210,140,2,0,0,0,289,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,1,677,0,0,677,0
151,151,1,19,217,184,1,1,0,2,371,0,0,0,0,0,0,0,2,1,0,0,0,1,0,0,0,0,0,800,0,5,805,0
152,152,2,26,340,191,1,0,4,1,334,0,2,0,2,1,1,1,2,0,1,1,0,0,1,0,1,3,0,915,0,4,919,0
153,153,1,22,106,73,0,0,0,0,92,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,296,0,4,300,0
154,154,3,17,296,167,0,1,0,1,263,1,0,0,0,0,0,2,0,0,1,2,0,1,0,0,0,1,0,756,0,3,759,0
155,155,1,19,207,181,0,0,0,2,226,0,0,0,2,0,2,0,0,0,1,0,0,0,0,1,0,1,0,643,0,2,645,0
156,156,0,13,226,154,0,0,0,0,277,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,674,0,3,677,0
157,157,0,22,340,279,0,0,0,0,291,0,0,0,1,0,0,1,1,0,0,1,0,3,0,0,1,0,0,940,0,2,942,0
158,158,0,47,277,209,0,1,1,0,316,1,0,0,1,2,0,2,0,0,1,0,0,0,1,0,1,0,0,860,0,4,864,0
159,159,0,14,135,91,1,0,0,1,120,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,364,0,2,366,0
160,160,0,26,269,186,2,0,0,2,370,1,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,860,0,1,861,0
161,161,1,24,175,155,2,0,1,3,304,0,0,2,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,670,0,0,670,0
162,162,2,35,115,134,0,0,0,4,313,0,0,0,0,0,2,1,0,0,0,0,0,3,0,0,0,1,0,o lat 610,R fo 0,3,oT 613,T fo 0
163,163,0,21,125,116,1,0,0,1,268,0,1,0,0,0,0,1,1,1,0,0,0,0,0,1,2,0,0,oT 539,.oN 0,4,543,.oN 0
164,164,1,28,191,143,11,0,0,1,338,1,0,1,0,3,1,1,1,0,0,2,1,0,0,0,0,0,0,724,0,6,730,0
165,165,0,32,149,159,2,1,0,1,317,1,0,2,0,0,0,1,0,1,2,2,0,0,0,1,1,0,0,672,0,2,674,0
166,166,2,13,163,138,2,1,0,0,266,0,1,0,1,0,0,0,0,2,2,1,0,0,0,0,0,0,0,592,0,2,594,0
167,167,0,31,119,197,2,1,0,2,290,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,643,0,3,646,0
168,168,1,21,141,152,2,0,2,1,452,2,0,1,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,779,0,3,782,0
169,169,0,14,113,245,1,0,0,1,265,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,642,0,2,644,0
170,170,0,37,235,214,3,2,0,0,246,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,739,0,5,744,0
171,171,0,26,116,198,0,0,0,1,318,0,0,1,1,0,0,1,2,0,0,1,0,0,0,0,0,0,0,665,0,2,667,0
172,172,0,19,178,132,1,0,0,1,191,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,523,0,7,530,0
173,173,1,13,219,165,0,2,0,1,251,1,0,0,0,0,0,0,0,2,0,0,0,1,0,1,0,0,1,658,0,1,659,0
174,174,1,15,216,131,1,1,0,0,201,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,569,0,4,573,0
175,175,0,18,214,184,1,0,0,2,253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,673,0,3,676,0
176,176,0,23,259,149,2,0,0,2,233,0,0,0,0,0,3,0,3,1,0,0,0,1,0,0,0,0,0,676,0,8,684,0
177,177,0,15,155,165,0,0,0,0,265,0,0,2,0,0,2,1,0,0,1,0,0,1,0,0,0,0,2,609,0,4,613,0
178,178,0,21,154,139,0,0,0,0,250,0,0,0,1,0,2,0,0,0,0,0,2,0,1,0,0,0,0,570,0,2,572,0
179,179,1,14,104,195,1,0,0,1,201,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,519,0,4,523,0
180,180,0,15,130,282,0,0,1,2,364,0,2,1,0,0,0,0,0,0,1,0,1,0,0,0,1,2,0,802,0,0,802,0
181,181,2,18,216,145,0,0,1,1,259,0,0,0,1,0,0,0,1,0,1,0,0,2,0,0,1,1,2,651,0,2,653,0
182,182,0,16,175,178,0,0,0,0,314,1,0,0,1,1,1,1,0,0,1,0,0,1,0,0,0,0,0,690,0,3,693,0
183,183,1,26,223,213,0,1,0,1,284,0,0,0,0,0,0,1,1,1,1,3,0,0,0,0,4,0,0,760,0,3,763,0
184,184,0,25,220,248,1,0,1,1,279,1,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,1,0,781,0,5,786,0
185,185,0,31,228,238,0,1,0,3,353,0,0,1,1,0,0,1,0,0,2,1,0,0,0,0,3,0,0,863,0,7,870,0
