Polling Station No,ARUN. R.L,DR. TAMILISAI SOUNDARARAJAN,BALAJI. V,VELU. DHA,DEVENDRAN. R,NAGARAJAN. S,MOORTHY. S,MOHANRAJ. J,VENKATARAMANAN. P,SELVAMUTHU. S,PARTHIPAN. G,RADHAKRISHNAN. G,ROMANRAJ. A,VINU PRADHA. A,VIJAYALAKSHMI. P,VIJAYA KRISHNA. V,VENKATARAMAN. B,VELU. K,JAYAGOPI. M,Total Valid Votes,Rejected Votes,NOTA,Total,Tendered Votes
121,18,72,0,123,1,0,2,1,286,1,0,0,0,1,0,0,1,0,0,506,0,2,508,0
122,16,144,1,119,0,0,0,1,262,0,0,0,0,0,0,0,0,1,0,544,0,1,545,0
123,15,120,2,121,0,0,1,0,180,0,0,0,0,0,0,0,0,0,1,440,0,3,443,0
124,17,94,0,138,0,0,0,4,334,0,0,0,0,0,1,0,0,0,0,588,0,2,590,0
125,13,88,3,97,2,0,0,1,331,0,0,0,0,0,3,1,2,0,1,542,0,0,542,0
126,17,87,2,111,1,0,1,2,305,0,0,0,0,0,2,0,1,0,0,529,0,0,529,0
127,24,208,2,171,0,0,1,4,231,2,2,0,0,0,4,0,1,1,1,652,0,4,656,0
128,13,139,0,50,0,0,1,0,143,0,0,0,1,0,0,0,0,0,1,348,0,2,350,0
129,21,88,2,144,0,1,1,3,511,1,0,1,1,0,1,0,0,0,0,775,0,2,777,0
130,18,92,1,167,2,0,1,1,420,0,1,0,0,0,1,0,1,0,0,705,0,5,710,0
131,7,31,0,205,1,0,1,0,272,0,0,0,0,0,0,0,0,0,1,518,0,1,519,0
132,12,88,5,214,1,0,0,1,470,0,1,0,0,1,0,2,1,0,0,796,0,2,798,0
133,5,13,0,66,0,0,0,0,80,0,0,0,0,0,1,1,0,0,0,166,0,1,167,0
134,20,55,5,216,1,1,1,0,478,1,1,0,3,0,4,1,0,0,0,787,0,0,787,0
135,21,82,0,230,0,0,0,1,464,0,1,0,0,0,1,0,1,0,0,801,0,0,801,0
136,14,64,0,239,0,0,0,0,238,0,2,0,2,1,0,0,0,0,0,560,0,2,562,0
137,22,75,1,241,1,0,1,2,394,0,0,0,0,1,2,1,0,0,2,743,0,4,747,0
138,15,82,1,148,0,0,0,1,177,0,0,0,0,0,0,0,1,0,0,425,0,0,425,0
139,26,96,0,192,0,0,0,0,237,0,0,0,0,0,1,0,1,0,0,553,0,8,561,0
140,21,76,2,179,1,0,0,1,213,0,0,0,0,0,1,1,0,0,0,495,0,1,496,0
141,15,40,0,156,1,0,0,0,202,0,0,0,0,1,0,0,0,0,0,415,0,1,416,0
142,23,103,2,365,0,0,1,0,253,0,0,0,1,1,0,0,0,0,0,749,0,5,754,0
143,22,108,1,162,0,0,1,3,264,0,0,0,0,0,4,1,0,0,0,566,0,2,568,0
144,17,90,0,141,0,0,1,0,231,0,1,0,0,0,2,2,0,0,0,485,0,3,488,0
145,14,187,1,159,0,0,0,0,186,0,0,0,0,0,0,0,0,0,0,547,0,2,549,0
146,20,130,2,160,0,0,0,0,242,0,0,0,0,0,0,0,0,0,0,554,0,4,558,0
147,25,45,1,102,1,2,0,0,418,0,0,0,1,0,1,1,0,0,0,597,0,2,599,0
148,28,65,0,140,0,0,1,3,394,0,0,0,1,0,2,2,0,1,1,638,0,0,638,0
149,15,61,1,135,0,2,0,3,445,0,0,0,0,0,1,1,0,0,0,664,0,0,664,0
150,31,53,2,120,1,2,0,1,422,0,0,0,0,0,0,1,0,0,0,633,0,3,636,0
151,10,110,1,174,1,0,0,0,190,0,0,0,0,0,1,0,0,0,0,487,0,5,492,0
152,20,107,2,238,0,0,0,1,203,0,0,0,0,0,0,1,0,0,0,572,0,3,575,0
153,10,25,1,210,2,1,1,1,232,0,0,0,0,0,0,0,0,1,0,484,0,1,485,0
154,26,69,0,134,0,0,0,0,371,0,0,0,0,1,0,0,0,0,1,602,0,0,602,0
155,10,42,1,93,0,1,0,1,253,0,0,1,1,0,1,0,0,0,0,404,0,0,404,0
156,16,86,1,160,2,0,2,1,404,0,1,0,0,0,1,2,0,0,3,679,0,4,683,0
157,14,132,0,237,0,1,0,0,204,0,0,0,0,0,1,0,0,0,0,589,0,7,596,0
158,20,140,1,334,1,0,1,1,211,0,0,1,0,0,0,2,0,0,0,712,0,3,715,0
159,11,95,1,253,0,0,0,2,176,0,0,0,0,0,1,1,0,0,0,540,0,2,542,0
160,15,181,1,105,0,0,0,2,218,0,1,0,0,0,1,1,0,3,0,528,0,4,532,0
161,18,211,1,97,1,0,1,0,153,0,0,0,0,1,0,0,1,0,0,484,0,5,489,0
162,13,257,0,109,0,0,0,0,173,0,0,0,0,1,1,0,0,0,0,554,0,8,562,0
163,13,68,1,195,0,0,0,0,110,0,0,0,0,0,1,0,0,0,0,388,0,1,389,0
164,8,66,0,158,0,0,1,0,108,0,0,0,0,0,0,1,0,0,0,342,0,1,343,0
165,31,44,1,194,0,0,0,1,281,0,0,0,0,0,1,1,0,0,0,554,0,2,556,0
166,18,65,1,165,1,1,0,0,218,0,0,0,0,0,0,0,0,0,0,469,0,2,471,0
167,18,73,0,264,1,0,0,2,233,0,0,0,0,0,0,1,1,1,1,595,0,3,598,0
168,16,22,1,239,1,0,0,2,331,2,0,0,0,1,0,0,1,0,0,616,0,4,620,0
169,3,14,0,117,0,0,1,1,177,1,0,0,5,0,0,0,0,0,0,319,0,2,321,0
170,28,45,2,299,2,0,1,1,430,0,0,0,2,0,1,2,0,0,1,814,0,0,814,0
171,e7 3,12,0,126,1,0,0,0,130,0,0,0,1,0,0,0,0,0,0,277,0,0,277,0
172,22,170,0,175,0,0,0,1,200,0,1,0,0,1,0,0,0,0,0,570,0,4,574,0
173,17,141,0,192,0,0,0,1,178,0,0,0,0,0,0,0,0,0,0,529,0,2,531,0
174,20,101,3,231,0,0,0,1,179,0,0,0,0,0,2,0,0,0,0,537,0,4,541,0
175,25,148,2,224,0,1,0,1,258,1,0,0,0,0,2,0,2,0,0,664,0,7,671,0
176,20,172,0,101,1,0,0,1,244,0,1,0,0,0,0,0,0,0,1,541,0,3,544,0
177,16,126,1,146,2,0,0,0,232,0,0,0,0,1,2,0,0,0,0,526,0,2,528,0
178,8,79,0,90,0,1,0,0,178,0,0,0,1,0,0,0,1,0,0,358,0,1,359,0
179,17,228,0,54,0,0,0,0,110,0,0,0,0,2,0,0,1,0,0,412,0,6,418,0
180,11,222,0,82,0,1,0,1,152,0,0,0,0,0,1,0,1,0,0,471,0,2,473,0
181,15,280,0,96,0,0,0,0,227,0,0,1,0,0,0,1,1,1,0,622,0,5,627,0
182,21,165,1,128,1,0,0,0,215,0,0,0,0,1,1,0,1,0,0,534,0,7,541,0
183,11,32,1,116,0,0,0,1,256,1,0,0,0,0,1,1,1,0,1,422,0,2,424,0
184,14,136,2,127,0,0,0,1,189,0,0,0,0,0,0,0,0,1,0,470,0,0,470,0
185,12,229,1,60,0,0,0,1,142,0,0,0,0,1,0,4,0,0,0,450,0,3,453,0
186,31,206,0,112,0,0,0,0,209,0,0,0,0,0,0,2,0,0,1,561,0,4,565,0
187,15,163,0,132,1,0,0,3,275,1,0,0,1,1,0,0,1,0,1,594,0,2,596,0
188,22,198,1,142,0,1,1,2,312,0,1,1,1,0,2,0,0,0,0,684,0,8,692,0
189,10,298,1,67,0,1,0,0,173,0,0,1,0,0,1,0,0,0,0,552,0,5,557,0
190,11,127,2,90,0,0,1,0,117,0,0,0,1,0,0,1,0,0,0,350,0,4,354,0
191,17,79,2,146,1,0,3,1,384,2,0,0,0,1,1,2,3,0,0,642,0,1,643,0
192,8,184,1,79,0,0,0,2,148,0,0,0,0,2,0,0,1,0,0,425,0,4,429,0
193,14,105,0,143,0,0,0,0,168,0,0,0,1,0,0,0,2,0,0,433,0,2,435,0
194,13,128,0,99,0,0,0,0,195,0,0,0,0,0,1,0,1,0,0,437,0,4,441,0
195,21,206,1,136,0,1,0,1,254,0,0,0,0,1,0,0,0,0,0,621,0,6,627,0
196,12,266,1,65,0,1,1,0,105,1,0,1,0,0,2,1,2,0,0,458,0,9,467,0
197,16,300,0,66,0,0,0,0,120,0,0,0,0,3,0,1,0,0,0,506,0,5,511,0
198,17,304,2,91,1,0,2,0,174,0,0,0,1,3,0,0,0,0,0,595,0,5,600,0
199,29,333,0,99,0,0,1,1,191,0,0,1,0,1,0,0,0,0,0,656,0,8,664,0
200,15,303,1,121,1,0,0,0,135,0,1,0,0,1,1,1,1,0,0,581,0,6,587,0
201,23,237,1,181,1,0,0,1,267,0,0,0,0,0,2,0,0,0,0,713,0,9,722,0
202,12,170,0,144,0,0,0,0,232,0,0,0,0,1,0,1,0,0,0,560,0,3,563,0
203,11,163,1,129,0,0,0,1,223,1,1,0,0,0,0,0,2,0,0,532,0,2,534,0
204,14,201,1,88,0,0,0,0,132,0,0,0,0,1,0,0,0,0,0,437,0,3,440,0
205,24,98,2,179,2,0,1,0,258,1,0,0,2,0,0,1,0,0,0,568,0,2,570,0
206,31,90,3,181,1,0,1,1,444,0,1,0,0,0,4,2,0,0,1,760,0,3,763,0
207,30,122,0,167,1,1,2,1,426,1,1,0,1,2,3,2,3,1,0,764,0,3,767,0
208,15,147,5,135,2,0,0,4,351,1,0,1,1,0,1,1,0,0,0,664,0,0,664,0
209,14,239,0,117,0,0,0,1,261,0,0,0,0,2,2,0,0,0,0,636,0,3,639,0
210,27,53,3,231,1,0,0,3,359,0,0,0,0,1,1,0,0,0,0,679,0,0,679,0
211,9,67,3,113,0,0,0,1,212,0,0,0,0,0,1,1,0,0,0,407,0,2,409,0
212,11,88,0,95,0,0,0,0,130,0,0,0,0,0,0,0,0,0,0,324,0,4,328,0
213,24,173,2,149,2,0,1,0,257,1,1,0,0,0,3,1,0,2,0,616,0,3,619,0
214,11,120,1,84,1,0,1,0,125,0,0,0,0,1,1,0,0,0,0,345,0,6,351,0
215,30,128,0,208,2,0,0,2,326,0,0,1,0,0,2,0,0,0,0,699,0,2,701,0
216,25,71,1,172,0,1,0,1,313,0,0,0,1,1,0,1,1,2,0,590,0,1,591,0
217,28,94,2,175,3,0,0,0,359,0,1,0,0,0,1,0,0,0,0,663,0,1,664,0
218,9,232,0,111,1,0,1,0,216,0,0,0,0,0,0,0,0,0,0,570,0,6,576,0
219,8,139,1,93,0,1,0,0,146,0,0,0,0,2,0,0,1,0,0,391,0,1,392,0
220,11,187,0,109,0,0,0,1,173,0,1,0,0,0,0,0,1,0,0,483,0,6,489,0
221,13,83,2,153,2,0,1,0,287,0,0,0,1,0,1,1,0,0,1,545,0,2,547,0
222,11,211,1,61,0,0,0,0,97,0,0,0,0,1,1,0,1,0,0,384,0,3,387,0
223,11,217,1,133,1,1,0,0,135,1,0,0,0,1,0,0,0,0,0,501,0,5,506,0
224,18,44,1,225,0,0,1,1,435,0,0,0,0,2,0,0,1,0,0,728,0,6,734,0
225,3,17,0,121,0,0,0,0,137,0,1,0,0,0,0,0,0,0,0,279,0,0,279,0
226,37,85,1,168,0,1,2,2,316,1,0,0,1,0,1,0,1,0,0,616,0,6,622,0
227,10,38,0,108,1,1,0,1,171,0,0,0,1,0,0,0,0,0,0,331,0,3,334,0
228,e1 54,52,0,204,0,1,2,2,242,0,0,1,0,0,1,0,0,0,0,520,0,0,520,0
229,17,84,2,152,1,0,0,1,283,0,0,0,1,0,0,3,0,1,0,545,0,1,546,0
230,30,101,3,193,2,0,1,0,403,2,0,0,0,0,1,1,1,0,1,739,0,1,740,0
231,9,178,0,63,1,0,0,0,85,0,0,0,0,0,1,0,0,0,0,337,0,7,344,0
232,14,22,0,42,0,2,0,0,140,0,0,0,0,0,1,1,0,1,0,223,0,2,225,0
233,3,8,0,16,0,0,1,1,61,1,0,0,0,0,0,0,0,0,0,91,0,0,91,0
234,18,88,1,74,0,0,1,2,314,0,1,1,0,0,1,1,0,0,2,504,0,0,504,0
235,15,92,0,156,1,1,0,1,284,0,0,0,0,0,0,0,0,0,0,550,0,0,550,0
236,23,97,2,184,0,0,1,3,430,1,0,0,0,0,0,0,2,1,1,745,0,1,746,0
237,15,73,1,121,2,0,0,2,278,0,0,0,0,0,0,0,0,0,0,492,0,2,494,0
238,15,49,2,199,1,0,0,2,360,0,1,0,0,0,1,1,0,0,0,631,0,1,632,0
239,43,86,1,160,0,0,0,3,418,0,1,0,1,1,0,0,0,0,0,714,0,1,715,0
240,21,79,5,193,1,2,2,3,358,0,0,0,1,1,1,2,0,0,0,669,0,4,673,0
241,42,82,2,174,1,0,0,0,405,1,0,0,0,0,1,1,0,0,0,709,0,3,712,0
242,10,38,0,63,0,0,0,1,208,0,0,0,0,0,0,0,0,0,0,320,0,0,320,0
243,9,49,3,150,0,0,0,0,223,2,0,0,2,0,0,0,0,1,0,439,0,2,441,0
244,24,44,2,324,0,0,0,0,157,0,0,0,0,2,2,0,1,1,0,557,0,3,560,0
245,11,270,1,130,0,0,0,1,155,0,0,0,0,0,1,1,0,1,0,571,0,9,580,0
246,8,156,1,162,0,1,1,0,105,0,0,0,0,0,0,0,0,1,0,435,0,0,435,0
247,11,162,0,106,0,0,0,1,98,0,0,0,0,1,1,0,0,0,0,380,0,2,382,0
248,3,29,2,81,0,0,0,0,58,0,0,1,0,0,0,0,0,0,0,174,0,1,175,0
249,13,58,1,106,1,0,1,0,289,0,0,0,0,0,0,0,0,0,0,469,0,1,470,0
250,12,59,0,155,0,2,0,3,326,1,0,0,0,0,1,1,1,0,0,561,0,0,561,0
251,30,46,2,248,1,1,1,0,352,1,0,0,0,0,1,0,0,0,1,684,0,3,687,0
252,11,20,0,124,0,0,0,1,330,3,0,0,0,0,1,1,0,0,0,491,0,3,494,0
253,19,31,0,117,1,0,0,0,311,0,1,0,0,0,0,1,0,0,0,481,0,2,483,0
254,13,17,1,188,1,0,0,1,341,0,1,0,1,1,0,0,1,1,0,567,0,2,569,0
255,13,35,1,214,0,0,1,1,228,0,0,1,0,1,0,1,0,0,0,496,0,2,498,0
256,27,60,2,236,0,0,1,1,356,0,0,0,1,0,1,0,0,1,0,686,0,3,689,0
257,15,41,1,198,0,2,0,3,273,0,0,1,1,0,0,0,0,0,0,535,0,2,537,0
258,20,30,3,180,0,2,0,0,265,1,0,0,0,1,0,0,0,0,0,502,0,1,503,0
