Polling Station No,Candidate_1,UPPA K R S,NAYEKIHTRAK.P,AYINOS.A,DAHSRI.M.S,DASARP ARAHDIRIG.S,NAPPAYINUM.K,MAGAYAANIV.M.K,ALAMIV.K,NANNAK HTONIV.M.M,RAMUKHTONIV.M,UPPA.S,RAMUK NAHDAM.S,LAMAKJAR.S,NAHTANAGOL.M,RAMUK AYAJIV.U,Total Valid Votes,Rejected Votes,NOTA,Total,Tendered Votes
240,198,184,16,1,0,0,0,3,369,0,0,0,0,1,0,772,772,0,2,774,0
241,96,121,8,0,1,0,1,0,124,1,0,0,0,0,0,352,352,0,4,356,0
242,163,218,19,1,0,0,3,1,220,0,1,0,0,0,0,626,626,0,1,627,0
243,174,257,19,0,0,0,1,0,290,0,0,1,0,0,1,743,743,0,1,744,0
244,187,155,13,0,0,0,0,0,166,0,0,0,0,0,0,521,521,0,8,529,0
245,152,100,8,0,0,0,0,1,186,0,0,0,0,0,0,447,447,0,5,452,0
246,153,271,12,1,0,0,0,0,299,0,0,0,0,1,0,737,737,0,0,737,0
247,179,138,23,0,0,0,0,0,244,2,0,0,0,0,0,586,586,0,5,591,0
248,191,178,24,1,0,0,0,0,386,0,1,0,0,0,0,781,781,0,2,783,0
249,178,246,17,0,0,0,0,0,351,1,0,0,0,0,4,797,797,0,1,798,0
250,173,244,18,1,3,0,1,3,267,2,0,1,1,1,4,719,719,0,6,725,0
251,81,95,7,0,0,0,0,0,163,0,0,0,0,1,2,349,349,0,1,350,0
252,314,149,12,1,0,0,0,2,338,1,2,0,0,0,0,819,819,0,8,827,0
253,241,240,24,0,0,0,0,2,354,0,0,0,0,0,0,861,861,0,6,867,0
254,223,188,24,2,0,1,2,2,350,0,0,1,0,0,1,794,794,0,2,796,0
255,247,147,27,0,0,0,0,1,332,0,0,1,0,0,0,755,755,0,5,760,0
256,122,105,12,1,2,0,0,1,282,0,0,0,0,0,0,525,525,0,2,527,0
257,97,111,13,0,0,0,0,1,205,0,0,0,2,0,1,430,430,0,0,430,0
258,231,282,28,2,0,0,2,0,310,1,0,0,0,0,0,856,856,0,4,860,0
259,188,83,11,0,1,0,0,0,177,0,1,1,1,0,0,463,463,0,2,465,0
260,226,95,12,0,2,0,0,2,165,0,0,1,0,0,0,503,503,0,2,505,0
261,146,137,16,1,0,0,3,0,311,0,1,1,0,0,0,616,616,0,2,618,0
262,143,175,6,1,0,0,1,0,201,0,0,0,0,0,1,528,528,0,1,529,0
263,163,158,9,0,1,0,0,0,220,0,0,0,0,0,3,554,554,0,3,557,0
264,126,176,31,0,0,0,1,0,271,1,2,0,0,0,0,608,608,0,6,614,0
265,81,328,19,1,0,0,0,0,280,0,0,0,0,0,2,711,711,0,0,711,0
266,133,316,18,1,2,0,0,4,414,0,1,1,0,0,1,891,891,0,3,894,0
267,268,197,17,2,0,0,0,0,283,0,0,0,0,0,1,768,768,0,7,775,0
268,219,255,23,1,0,0,0,1,437,0,2,1,0,1,2,942,942,0,3,945,0
