Polling Station No,R.D. SHEKAR,S. VETRI THAMIZHAN,VETRI VEL SELVAM,ASHLIN BELMEN .A.S,M. GEETA,DR.R. SARAVANA PERUMAL,SIVAKUMAR.V,S. SURESHKUMAR,J. SEBASTIN,M. THILAGABAMA,K.M. DEVAN,S. MALATHI,A. RAJARAM,VIJAY,D.V. VENUGOPAL,C. JOSEPH VIJAY,AGNI AALVAR,AMALA.R,AZARUTHEEN.M,P. ESAKKI MUTHU,E. UDHAYA KUMAR,M. KADHIRAVAN,P. GUNASEKAR,B. SATHISH KUMAR,SATHISH.B,P. THANGAMANI,M. TAMILSELVAM,H. DHANASEKAR,M.I. THAHIRA BANU,NIVETHA,B. BALAJI,P. PONRAJ,BOWDHARAJ,DR.D. MADAN,DR.G. MOORTHY,S. MICHAEL,S. RAMESH,V. RAJI,S. RAJESH KUMAR,REEGAN PRABHU,G. RUTHRA KUMAR,VIJAY. G,S. VISHNU VARTHAN,B. VENKATESAN,R. JAYASEELAN,S. JOSEPH,M. JOSEPH,Total Valid Votes,Rejected Votes,NOTA,Total,Tendered Votes
45,225,10,0,0,0,0,0,0,0,26,0,0,1,0,0,356,3,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,625,0,0,625,0
46,204,7,1,0,0,0,0,1,0,18,0,0,0,1,0,252,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,487,0,2,489,0
47,354,18,0,0,0,0,1,0,0,27,0,0,0,0,0,402,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,2,1,0,1,0,0,0,0,0,0,810,0,1,811,0
48,250,13,1,0,0,1,0,0,0,29,0,0,2,0,0,436,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,734,0,2,736,0
49,300,20,0,0,0,0,0,0,0,30,0,0,0,3,0,416,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,772,0,4,776,1
50,392,21,0,1,0,0,0,0,0,22,0,1,0,0,1,405,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,849,0,6,855,0
51,250,23,1,0,0,0,0,0,0,24,0,0,0,3,0,307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,610,0,4,614,0
52,251,6,0,0,1,0,0,0,0,11,1,0,0,0,0,140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,412,0,1,413,0
53,345,18,0,0,0,0,0,0,0,27,0,0,1,0,0,414,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,1,3,0,0,0,0,0,0,815,0,1,816,0
54,312,23,1,0,0,0,0,0,0,20,0,0,1,0,1,366,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,726,0,0,726,0
55,299,11,0,0,0,0,0,0,0,19,0,0,0,2,0,304,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,637,0,2,639,0
56,309,12,0,0,1,0,0,0,0,21,0,0,0,2,0,454,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,2,1,0,0,0,0,0,0,806,0,0,806,0
57,226,13,0,0,0,0,0,0,1,44,0,0,0,1,0,415,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,703,0,3,706,0
58,204,10,0,0,0,0,0,0,1,27,0,0,0,2,1,323,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,569,0,3,572,0
59,236,12,0,0,0,0,0,1,0,29,0,0,0,0,0,362,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,645,0,0,645,0
60,249,17,1,0,0,0,0,0,1,29,0,0,1,1,0,331,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,634,0,3,637,0
