Polling Station No,Polling Station No.,S .UHTUMIHCAN,N .IDNAP,B .IRAWSEGURUM,K .NARAHONAMIVAR,NEEVARP M .RAMUK .RD,G .IHTROOMAMAR,K .IARUDLAKKYAV,G .RAMUKKOHSA,R .USARABNA,P .NAPPAISANNAHT,B .YMASIALAMURIHT,M .NARDNAHCALAB,R .RAMUKNEEVARP,R .IRAWSEHDAM,T .RAMUKAYAJ,Total Valid Votes,Rejected Votes,NOTA,Total,Tendered Votes
305,305,1,145,9,65,141,0,1,0,0,0,0,0,0,0,1,363,0,0,363,0
306,306,1,365,23,89,313,0,1,1,0,0,0,1,0,0,2,796,0,1,797,0
307,307,4,260,32,248,267,0,0,1,0,0,1,0,0,0,3,816,0,1,817,0
308,308,4,61,8,76,127,0,0,0,0,0,0,0,0,0,0,276,0,0,276,0
309,309,2,142,13,66,187,2,0,0,0,1,1,0,0,0,0,414,0,3,417,0
310,310,0,177,12,74,332,0,1,1,0,0,0,0,1,0,0,598,0,0,598,0
311,311,1,175,9,102,196,0,2,0,0,0,0,0,1,0,1,487,0,0,487,0
312,312,2,283,26,134,400,1,1,2,0,0,0,0,0,0,1,850,0,2,852,0
313,313,0,123,9,69,290,0,0,0,1,0,0,0,0,1,0,493,0,1,494,0
314,314,3,157,22,238,167,0,0,1,0,0,2,1,0,0,2,593,0,2,595,0
315,315,1,184,20,178,133,2,0,1,1,2,0,2,1,2,5,532,0,2,534,0
316,316,1,269,38,316,218,1,0,2,0,1,1,0,3,3,3,856,0,7,863,0
317,317,1,128,14,124,65,0,0,0,0,0,0,1,2,0,0,335,0,0,335,0
318,318,1,243,35,417,217,2,0,0,1,1,1,1,3,2,3,927,0,3,930,0
319,319,2,176,28,223,96,0,0,1,0,1,0,2,2,1,2,534,0,1,535,0
320,320,0,109,29,193,80,4,0,0,0,0,0,0,1,0,2,418,0,2,420,0
321,321,2,251,72,322,168,2,0,0,0,1,1,1,1,1,6,828,0,1,829,0
322,322,1,70,8,142,93,1,1,0,0,0,1,1,3,0,0,321,0,1,322,0
323,323,4,249,44,210,249,0,0,0,0,1,0,0,3,0,5,765,0,1,766,0
324,324,1,238,32,286,235,3,1,0,0,1,0,5,1,2,5,810,0,1,811,0
325,325,0,151,18,268,114,1,0,0,0,0,0,1,1,1,4,559,0,2,561,0
326,326,0,55,5,138,42,0,0,0,0,0,0,1,0,0,2,243,0,2,245,0
327,327,1,50,4,82,33,0,1,3,0,0,0,1,0,1,1,177,0,2,179,0
328,328,0,255,31,328,185,0,1,1,2,0,0,3,4,2,2,814,0,4,818,0
329,329,0,246,11,311,215,5,0,1,0,0,2,1,2,3,1,798,0,4,802,0
330,330,1,274,60,435,171,0,0,1,0,0,2,2,3,0,7,956,0,1,957,0
331,331,0,183,16,235,112,0,0,0,0,0,0,2,1,0,1,550,0,1,551,0
332,332,0,99,17,216,58,0,0,0,0,0,0,0,1,1,0,392,0,0,392,0
333,333,0,66,0,112,23,0,0,1,0,0,0,0,0,1,1,204,0,0,204,0
334,334,2,65,6,17,11,0,0,0,0,0,0,0,0,1,1,103,0,0,103,0
335,335,1,82,0,39,19,0,0,0,0,0,0,0,0,0,0,141,0,0,141,0
336,336,0,138,6,164,139,0,0,0,0,0,0,2,3,0,1,453,0,1,454,0
337,337,0,73,12,190,124,1,0,1,0,0,0,0,0,0,0,401,0,0,401,0
338,338,1,134,7,152,154,1,0,1,0,0,1,1,0,0,0,452,0,0,452,0
339,339,0,117,8,233,187,0,0,0,0,0,0,1,1,0,1,548,0,0,548,0
