Polling Station No,R.S.RAAJESH,VENNILA.T,J. JOHN EBENEZER,E. RAAMADASAN,D.KARTHIKEYAN,CHANDRASEKAR,B.NAVIN,N. MARIE WILSON,A.MOHANRAJ,AMUDHA.N,D. AJITH KUMAR,S.EMMANUVEL,A. USHA,R.ETHIRAJ,V.SHANKAR,M. SATHISH,J.SARAVANAKUMAR,L.SARAVANAN,V.SUDHAKAR,K. SUJITH,R.TAMILARASAN,TAMILSELVAN,R.DEVAKUMAR,D.PRABHU,G. BOTHI RAJAN,MANIKANDAN.H,G. MADHAN KUMAR,V. MADHAN MOHAN,P. MARIMUTHU,R. MUTHU CHELLA BHARATHI,K. MURALI,J.MURALI KRISHNAN,C. RAJAMANICKAM,J.VIJAYAN,A.VIJAY,G. VIJAY,C.JANARTHANAN,D. JANARTHANAN,Total Valid Votes,Rejected Votes,NOTA,Total,Tendered Votes
127,104,13,146,1,0,0,1,374,2,0,0,0,0,1,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,652,0,5,657,0
128,122,19,186,1,0,0,3,467,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,801,0,2,803,0
129,137,12,169,0,0,1,0,422,1,0,0,0,0,0,0,1,2,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,747,0,2,749,0
130,139,21,176,0,0,0,0,420,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,759,0,5,764,0
131,94,20,180,0,0,0,3,429,0,1,1,0,0,0,0,1,1,0,0,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,735,0,2,737,0
132,124,25,321,0,0,0,2,414,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,890,0,1,891,0
133,114,26,246,0,0,0,1,464,0,1,0,0,0,0,0,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,857,0,0,857,0
134,114,16,165,1,0,0,1,309,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,608,0,3,611,0
135,105,24,303,1,0,0,0,413,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,854,0,0,854,0
136,107,29,283,0,0,0,0,415,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,1,0,0,839,0,0,839,0
137,130,30,185,1,0,0,1,346,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,696,0,8,704,0
138,153,35,217,0,0,0,1,555,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,965,0,3,968,0
