Polling Station No,N.R.KARTHIKEYAN,RAJABU NISHA.Z,S.P.VELUMANI,SATHISH RAJU (ALIAS) K.P.R. SATHISH,SHAJAHAN.S,ARULKUMAR.P,KALAIVANI.S,KARTHIKEYAN.M,KARTHIKEYAN.R,KARTHIKEYAN.R-THONDAMUTHUR,KARTHIKEYAN.R-POOLUVAPATTI,KOWSALYA.V,SIVARAMAN.C,DEEPA.G.S,DEVADASS.K,NIRMALKUMAR.R,BALAMANI.V,MANOKARAN.K,RAFEEQ.A.M.,VIJAYA.K,VISWANATHAN.M,Total Valid Votes,Rejected Votes,NOTA,Total,Tendered Votes
248,188,25,360,302,1,0,0,1,0,1,0,0,0,0,0,0,2,0,2,0,0,882,0,1,883,0
249,181,37,195,265,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,1,0,682,0,2,684,0
250,216,33,305,268,1,0,1,0,1,0,1,0,0,0,2,1,0,0,1,0,0,830,0,6,836,0
251,118,15,330,377,0,0,0,1,1,1,0,0,0,2,1,3,1,1,3,1,1,856,0,5,861,0
252,126,14,247,185,1,0,1,0,0,0,1,0,1,0,0,1,2,0,2,1,0,582,0,3,585,0
253,188,34,413,285,2,0,0,1,1,0,0,0,3,1,0,2,0,0,0,1,0,931,0,4,935,0
254,141,21,251,230,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,647,0,6,653,0
255,247,20,476,308,2,1,0,0,0,0,0,2,0,1,0,2,2,0,0,0,0,1061,0,3,1064,0
256,190,16,287,273,0,1,0,1,1,0,1,0,2,1,1,1,3,0,2,2,1,783,0,1,784,0
257,188,26,397,275,1,0,0,1,1,0,0,0,1,2,0,2,0,0,2,1,0,897,0,5,902,0
258,168,21,280,286,2,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,1,763,0,2,765,0
259,100,7,131,209,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,450,0,1,451,0
260,190,24,290,260,1,0,0,0,1,0,4,0,0,0,0,2,2,0,0,2,0,776,0,3,779,0
261,146,25,324,282,3,0,0,0,0,1,0,0,1,0,0,1,2,0,0,1,0,786,0,2,788,0
262,105,19,349,232,1,0,0,0,0,0,0,1,0,1,0,1,1,1,0,1,0,712,0,0,712,0
263,140,29,367,333,0,0,0,0,0,0,2,0,0,0,1,0,1,2,1,1,1,878,0,2,880,0
264,146,19,468,301,0,0,1,0,0,0,0,1,0,2,0,0,2,4,2,0,0,946,0,3,949,0
265,182,20,380,372,2,0,0,2,1,0,1,1,0,0,0,0,1,1,0,0,0,963,0,7,970,0
266,167,37,345,381,0,0,0,0,0,0,0,0,1,0,0,1,1,0,2,0,0,935,0,9,944,0
267,152,22,409,364,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,951,0,4,955,0
268,143,21,376,286,1,0,0,2,0,1,0,0,0,0,0,1,0,2,0,0,0,833,0,6,839,0
269,142,10,425,224,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,803,0,4,807,0
270,127,10,356,227,0,0,0,0,0,0,2,0,1,0,0,2,0,0,0,0,0,725,0,1,726,0
271,123,15,372,220,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,734,0,4,738,0
272,198,17,320,222,0,0,1,0,0,0,2,0,0,0,0,1,0,0,0,0,0,761,0,2,763,0
273,170,23,344,253,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,792,0,3,795,0
274,146,14,291,191,1,0,1,0,0,0,0,0,0,0,0,1,1,1,0,1,0,648,0,2,650,0
275,149,22,495,380,2,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1051,0,2,1053,0
276,149,16,481,307,1,0,1,0,1,1,0,0,0,1,0,1,1,0,0,0,0,960,0,5,965,0
277,193,14,363,262,0,1,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,837,0,2,839,0
278,127,5,397,129,0,0,1,0,1,0,2,0,0,0,0,0,1,0,0,0,0,663,0,0,663,0
279,110,14,343,146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,613,0,0,613,0
280,148,11,477,210,1,0,0,0,1,0,1,1,0,1,0,1,0,1,3,1,1,858,0,4,862,0
281,158,20,314,197,3,2,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,698,0,4,702,0
282,134,4,328,147,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,617,0,0,617,0
283,177,29,171,111,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,491,0,1,492,0
284,206,27,253,278,0,0,0,1,0,0,2,1,0,0,2,0,0,1,0,0,0,771,0,3,774,0
285,152,18,200,127,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,500,0,0,500,0
286,198,19,243,168,1,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,633,0,8,641,0
287,110,14,159,94,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,380,0,2,382,0
288,153,13,205,141,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,514,0,3,517,0
289,207,24,269,196,0,0,0,0,0,0,0,1,0,1,1,2,0,1,0,0,0,702,0,7,709,0
290,109,10,163,115,1,0,0,1,0,0,1,0,0,1,0,2,0,0,1,0,0,404,0,3,407,0
291,250,26,278,246,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,803,0,5,808,0
292,197,23,249,178,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,650,0,4,654,0
293,119,20,185,141,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,468,0,6,474,0
294,157,34,424,289,1,0,0,0,1,0,0,0,0,4,0,0,0,0,1,1,0,912,0,6,918,0
295,104,7,104,93,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,310,0,3,313,0
296,111,20,156,111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,399,0,1,400,0
297,133,7,171,103,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,416,0,3,419,0
298,183,25,221,197,0,1,0,1,0,0,1,0,0,0,0,1,0,1,0,1,1,633,0,5,638,0
299,167,20,291,173,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,655,0,2,657,0
300,164,23,261,242,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,692,0,3,695,0
301,148,18,397,250,1,0,1,0,0,0,3,0,0,0,0,2,0,0,1,0,0,821,0,0,821,0
302,105,10,244,174,0,3,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,540,0,1,541,0
303,149,23,307,232,0,0,1,0,0,0,0,1,0,2,0,0,0,0,0,0,1,716,0,2,718,0
304,ge 4 241,20,231,215,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,712,0,0,712,0
305,243,16,376,215,0,0,0,0,1,1,1,1,0,1,1,0,2,1,2,0,0,861,0,1,862,0
306,178,11,162,136,0,0,2,0,0,1,0,0,1,0,0,1,0,0,1,0,1,494,0,1,495,0
307,113,8,247,129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,497,0,4,501,0
308,329,38,324,331,1,1,0,0,0,0,0,0,1,1,1,1,1,0,1,0,0,1030,0,3,1033,0
309,243,25,338,341,1,0,0,0,0,0,0,0,2,0,0,0,1,0,1,1,0,953,0,2,955,0
310,97,12,197,138,0,1,2,1,0,0,0,0,0,0,0,2,0,0,1,0,0,451,0,0,451,0
311,204,13,253,221,1,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,695,0,1,696,0
312,168,23,281,220,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,697,0,1,698,0
313,183,12,218,248,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,663,0,5,668,0
314,206,9,197,139,2,0,0,0,1,0,0,0,0,1,0,0,3,0,1,0,0,559,0,2,561,0
315,165,19,247,249,1,0,0,1,0,1,0,0,0,2,0,0,0,1,1,0,0,687,0,0,687,0
316,192,19,248,207,1,0,0,2,0,0,2,0,0,0,0,0,0,0,1,1,0,673,0,7,680,0
317,229,8,201,149,1,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,592,0,1,593,0
318,160,15,311,176,1,0,0,0,0,0,1,0,0,2,0,1,0,0,0,1,0,668,0,2,670,0
319,197,22,246,206,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,674,0,5,679,0
320,132,18,218,201,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,571,0,2,573,0
321,174,16,216,218,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,626,0,1,627,0
322,245,19,308,223,0,0,0,1,0,0,2,0,0,0,0,0,2,0,1,2,2,805,0,3,808,0
323,150,10,199,174,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,535,0,5,540,0
324,115,17,257,219,1,0,0,1,0,1,0,1,1,0,1,0,1,0,1,0,0,616,0,6,622,0
325,212,17,143,149,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,525,0,1,526,0
326,188,31,266,203,0,0,0,0,1,1,2,0,0,0,0,1,1,0,0,0,0,694,0,6,700,0
327,236,24,292,246,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,802,0,6,808,0
328,159,18,260,212,0,1,0,0,0,0,1,1,0,0,1,1,0,0,1,0,0,655,0,2,657,0
329,290,12,335,236,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,876,0,6,882,0
330,214,24,252,203,1,0,1,0,0,0,1,0,0,1,0,1,3,0,0,0,0,701,0,5,706,0
331,243,24,217,316,0,1,0,1,0,1,0,0,2,0,0,1,0,0,0,0,0,806,0,0,806,0
332,180,15,262,177,0,0,0,0,0,1,1,0,0,1,0,1,1,0,3,1,0,643,0,2,645,0
333,156,46,326,269,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,802,0,3,805,0
334,122,21,219,138,1,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,505,0,4,509,0
335,314,13,140,145,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,614,0,1,615,0
336,144,9,293,228,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,675,0,2,677,0
337,518,15,103,179,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,818,0,5,823,0
338,293,16,259,248,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,821,0,4,825,0
339,203,14,312,223,1,0,1,0,0,2,1,0,0,0,0,0,1,0,0,0,0,758,0,6,764,0
340,153,22,311,180,2,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,671,0,4,675,0
341,256,19,187,218,0,0,0,0,0,0,1,0,1,1,0,2,0,0,0,0,0,685,0,5,690,0
342,224,16,252,179,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,674,0,4,678,0
343,211,14,163,181,0,1,1,0,1,0,0,0,0,0,0,0,0,0,2,0,1,575,0,5,580,0
344,218,15,283,239,0,0,0,2,0,0,0,0,0,1,1,0,1,0,0,0,0,760,0,4,764,0
345,162,9,305,240,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,719,0,3,722,0
346,110,9,279,186,1,0,2,0,1,0,0,0,1,0,1,0,0,0,0,0,0,590,0,6,596,0
347,119,14,347,215,0,1,0,1,1,0,0,0,0,0,2,1,0,0,1,1,0,703,0,2,705,1
348,230,24,212,227,0,1,0,1,0,0,0,1,1,0,0,2,0,0,0,1,0,700,0,6,706,0
349,239,22,222,194,0,0,1,1,0,0,1,0,1,2,1,1,0,0,0,0,0,685,0,3,688,0
350,233,19,296,233,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,784,0,6,790,0
351,212,15,307,243,0,0,0,0,1,1,0,0,0,0,0,0,1,2,0,0,0,782,0,5,787,0
352,208,31,307,242,1,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,793,0,0,793,0
353,472,11,97,176,0,0,0,0,0,0,3,0,1,0,0,0,2,0,2,1,0,765,0,1,766,0
354,404,22,121,239,1,0,0,0,0,1,0,0,0,0,0,0,3,1,1,0,0,793,0,4,797,0
355,526,14,68,185,0,0,1,1,1,1,1,0,1,0,1,1,0,0,0,0,0,801,0,4,805,0
356,460,10,109,203,0,1,0,0,0,0,2,0,1,1,0,0,2,0,0,0,0,789,0,3,792,0
357,422,11,122,168,0,0,0,0,0,0,2,0,0,1,0,1,0,0,0,0,0,727,0,3,730,0
358,235,8,119,163,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,527,0,4,531,0
359,572,20,60,154,1,0,0,0,1,0,2,0,0,1,0,1,2,0,0,0,0,814,0,4,818,0
360,408,13,144,167,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,735,0,2,737,0
361,449,8,55,120,1,0,0,0,0,0,2,0,1,1,0,1,1,0,0,1,0,640,0,0,640,0
362,423,12,122,160,1,0,0,0,0,0,4,0,1,0,0,0,4,0,0,0,0,727,0,1,728,0
363,480,18,71,163,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,736,0,1,737,0
364,171,9,111,86,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,378,0,2,380,0
365,565,4,76,166,0,1,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,816,0,1,817,1
366,423,21,132,214,1,0,0,0,0,0,1,0,1,1,1,0,0,0,2,0,0,797,0,4,801,2
367,198,13,140,128,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,480,0,2,482,0
368,169,14,232,161,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,579,0,3,582,0
369,229,15,170,141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,556,0,5,561,0
370,383,25,164,186,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,1,0,763,0,5,768,0
371,450,31,139,179,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,801,0,6,807,0
