Polling Station No,Candidate_1,Candidate_2,Candidate_3,Candidate_4,Candidate_5,Candidate_6,Candidate_7,Candidate_8,Candidate_9,Candidate_10,Candidate_11,Candidate_12,Candidate_13,Candidate_14,Candidate_15,Candidate_16,Total Valid Votes,Rejected Votes,NOTA,Total,Tendered Votes
34,106,301,26,1,235,1,0,0,0,0,1,0,0,0,1,1,1,673,0,673,0
35,116,266,22,2,337,0,0,0,0,1,1,0,0,1,1,5,5,752,0,752,0
36,90,291,20,1,249,1,0,0,0,0,0,0,0,0,2,2,2,656,0,656,0
37,156,237,18,0,323,0,0,0,0,0,0,0,1,0,0,1,1,736,0,736,0
38,106,171,23,1,231,0,0,0,0,0,0,0,0,0,1,1,1,534,0,534,0
39,93,157,9,0,168,0,1,0,0,0,0,0,0,1,0,0,0,429,0,429,0
40,95,251,14,1,312,0,0,0,0,4,0,0,0,0,0,1,1,678,0,678,0
41,55,165,19,1,196,0,0,0,1,0,1,0,0,0,0,0,0,438,0,438,0
42,106,315,12,2,274,0,0,0,0,0,1,0,0,0,2,1,1,713,0,713,0
43,98,142,25,0,172,0,0,0,0,0,0,0,0,0,0,4,4,441,0,441,0
44,103,178,19,1,374,0,0,0,0,0,1,1,0,2,1,1,1,681,0,681,0
45,90,137,10,0,214,0,0,0,0,0,0,0,0,0,0,5,5,456,0,456,0
46,114,156,17,0,226,1,0,0,0,0,0,0,0,0,8,1,1,523,0,523,0
47,105,158,8,0,181,0,0,0,0,2,0,0,0,0,6,1,1,461,0,461,0
48,95,170,15,1,225,0,0,1,0,0,1,1,0,0,0,2,2,511,0,511,0
49,78,111,11,0,206,0,0,0,0,0,0,0,0,0,5,0,0,411,0,411,0
50,144,141,16,3,214,0,0,0,0,0,0,0,0,0,2,2,2,522,0,522,0
51,119,141,23,0,132,0,0,0,0,0,0,0,0,0,0,4,4,419,0,419,0
52,59,100,8,2,76,0,0,0,0,0,0,0,0,0,0,3,3,248,0,248,0
53,175,140,31,0,245,0,0,0,0,0,0,0,0,0,0,2,2,593,0,593,0
54,241,175,13,0,224,0,0,0,0,2,0,0,0,0,0,11,11,666,0,666,0
55,185,134,32,0,278,0,0,0,0,0,0,0,0,0,0,4,4,633,0,633,0
56,234,123,27,0,176,0,2,0,0,0,0,0,0,0,2,2,2,566,0,566,0
57,206,121,21,1,185,0,0,0,0,0,0,0,1,0,0,5,5,540,0,540,0
58,317,123,30,0,241,0,0,0,1,0,0,0,0,2,0,7,7,721,0,721,0
59,221,201,33,0,307,0,0,0,0,2,0,0,0,1,1,12,12,778,0,778,0
60,139,117,24,0,211,1,1,0,0,0,2,0,0,0,2,2,2,499,0,499,0
61,90,110,9,0,177,0,0,0,0,0,0,0,1,0,1,4,4,392,0,392,0
62,99,186,16,1,199,0,0,0,0,0,1,0,0,0,0,2,2,504,0,504,0
63,172,161,21,0,163,1,0,0,0,2,0,0,0,0,0,3,3,523,0,523,0
64,148,230,22,1,309,0,0,0,0,2,2,0,0,0,1,7,7,722,0,722,0
65,115,138,18,0,152,0,0,0,0,0,1,0,0,0,1,2,2,427,0,427,0
66,95,122,18,0,114,0,0,0,1,0,0,0,0,0,0,0,0,350,0,350,0
67,192,177,22,0,222,0,0,0,0,1,2,0,0,0,0,6,6,622,0,622,0
68,116,153,18,1,131,0,1,0,1,0,1,0,0,0,2,4,4,428,0,428,0
69,157,148,17,1,169,0,1,1,0,0,0,0,0,0,1,5,5,500,0,500,0
70,103,70,19,1,124,0,0,0,0,0,1,1,0,1,1,0,0,321,0,321,0
71,61,185,21,2,189,0,1,0,0,0,0,0,0,0,1,2,2,462,0,462,0
72,149,174,9,0,128,0,0,0,1,2,0,0,0,1,0,3,3,467,0,467,0
73,122,175,10,0,172,1,0,0,1,0,1,0,0,0,1,3,3,486,0,486,0
74,112,122,14,1,120,2,0,0,0,0,0,0,0,0,0,3,3,374,0,374,0
75,126,165,10,0,159,1,0,0,0,0,1,0,0,0,1,6,6,469,0,469,0
76,140,183,14,0,217,0,0,0,0,0,1,0,0,0,0,3,3,558,0,558,0
77,66,88,2,2,138,0,0,0,0,1,1,0,0,0,0,4,4,302,0,302,0
78,84,239,12,0,225,0,0,0,0,1,0,1,0,0,1,1,1,564,0,564,0
79,110,182,16,0,242,0,0,0,0,0,0,0,0,2,0,8,8,560,0,560,0
80,152,283,18,1,289,1,0,0,1,0,0,0,0,1,0,3,3,749,0,749,0
81,151,212,21,0,254,1,0,0,0,0,4,0,0,0,1,1,1,645,0,645,0
82,120,262,19,2,350,0,1,0,0,0,0,1,0,0,0,3,3,758,0,758,0
83,162,257,20,0,313,0,0,0,0,1,0,0,0,0,0,3,3,756,0,756,0
84,129,234,26,0,306,1,0,0,0,0,0,0,0,1,0,4,4,701,0,701,0
85,111,181,28,0,294,0,0,0,0,0,0,0,0,0,0,2,2,616,0,616,0
86,108,174,22,0,196,2,0,0,1,1,0,0,0,1,0,3,3,508,0,508,0
87,183,153,22,0,239,2,0,0,0,0,0,0,0,0,1,3,3,603,0,603,0
88,148,105,16,0,154,0,0,0,0,0,0,0,0,0,0,2,2,425,0,425,0
89,106,82,10,0,127,0,0,0,0,0,0,0,0,0,0,3,3,328,0,328,0
90,130,135,17,0,202,0,0,0,0,0,1,0,1,0,0,7,7,493,0,493,0
91,99,191,18,0,299,0,0,1,0,0,0,0,0,0,0,3,3,611,0,611,0
92,153,229,14,0,306,0,0,0,0,1,0,0,0,0,0,2,2,705,0,705,0
93,105,203,18,1,244,0,0,0,0,0,0,0,1,0,0,6,6,578,0,578,0
94,148,214,19,2,324,1,0,0,0,0,0,0,0,0,0,6,6,714,0,714,0
95,147,248,33,0,394,1,1,0,0,0,1,0,0,0,0,4,4,829,0,829,0
96,135,245,14,0,365,0,0,0,0,0,0,0,1,0,0,10,10,770,0,770,0
97,173,237,25,1,323,2,0,0,0,1,0,0,0,0,0,8,8,770,0,770,0
98,164,181,41,0,289,0,0,0,0,0,1,0,0,0,0,6,6,682,0,682,0
99,143,177,32,0,240,1,1,0,0,1,0,0,1,0,0,5,5,601,0,601,0
100,169,185,22,0,300,0,0,0,0,0,0,0,0,0,0,5,5,681,0,681,0
101,127,157,19,1,208,0,1,0,0,0,0,0,0,2,0,2,2,517,0,517,0
102,77,104,9,2,180,0,0,0,0,0,0,0,0,0,0,4,4,376,0,376,0
103,166,205,34,1,333,1,1,0,0,0,1,0,0,0,0,3,3,745,0,745,0
104,100,150,22,1,191,0,0,0,0,0,0,0,0,0,0,2,2,466,0,466,0
105,91,135,24,0,195,0,0,0,0,0,0,0,0,0,0,4,4,449,0,449,0
106,150,147,18,0,222,0,0,0,0,1,0,0,0,0,0,5,5,543,0,543,0
107,169,183,36,1,267,1,0,0,0,0,0,0,0,1,0,3,3,661,0,661,0
108,116,162,17,0,214,0,0,0,0,2,0,1,0,0,0,1,1,513,0,513,0
109,138,233,37,1,291,1,2,0,0,0,1,0,0,0,0,7,7,711,0,711,0
110,130,203,37,2,322,0,0,0,0,0,2,2,0,1,1,5,5,705,0,705,0
111,101,157,35,1,239,0,0,0,0,0,1,1,1,0,0,7,7,543,0,543,0
112,122,128,27,1,229,1,1,0,0,0,0,0,0,0,0,0,0,509,0,509,0
113,134,134,15,0,194,1,0,5,0,0,1,0,0,0,0,0,0,484,0,484,0
114,139,172,20,2,282,0,0,0,0,0,0,0,0,0,1,0,0,616,0,616,0
115,118,217,20,0,290,0,0,0,0,0,0,0,0,1,0,2,2,648,0,648,0
116,128,170,34,1,245,0,0,0,0,0,0,0,0,0,0,4,4,582,0,582,0
117,144,140,15,1,230,0,0,0,0,0,0,0,0,0,0,1,1,531,0,531,0
118,158,168,31,1,284,0,0,0,1,0,0,0,0,0,3,5,5,651,0,651,0
119,197,214,34,0,302,0,0,0,0,1,0,0,0,0,0,3,3,751,0,751,0
120,161,201,29,0,430,1,0,0,0,0,0,0,1,0,0,0,0,823,0,823,0
